,a,b,K validity range (lower limit),K validity range (upper limit)
0,0.178,8.956,-14.0,-12.6
1,0.268,10.09,-12.6,-12.0
2,0.272,10.137,-12.0,-11.2
3,0.259,9.994,-11.2,-10.7
4,0.503,12.603,-10.7,-10.3
5,1.119,18.95,-10.3,-9.9
6,0.674,14.541,-9.9,-9.3
7,0.825,15.945,-9.3,-8.15
8,0.834,16.021,-8.15,-7.846377697841728
9,0.863,16.266,-7.846377697841728,-7.61
10,0.21,11.298,-7.61,-7.02
11,0.233,11.463,-7.02,-6.45
12,0.265,11.665,-6.45,-5.94
13,0.647,13.939,-5.94,-4.01
