,a,b,K validity range (lower limit),K validity range (upper limit)
0,0.178,8.956,-14.0,-12.6
1,0.268,10.09,-12.6,-12.0
2,0.272,10.137,-12.0,-11.2
3,0.259,9.994,-11.2,-10.7
4,0.503,12.603,-10.7,-10.3
5,1.119,18.95,-10.3,-9.9
6,0.674,14.541,-9.9,-9.3
7,0.825,15.945,-9.3,-8.15
8,0.834,16.021,-8.15,-7.84
9,0.834,16.021,-7.84,-7.73
10,0.083,10.216,-7.73,-6.93
11,0.606,13.838,-6.93,-6.73
12,0.271,11.587,-6.73,-6.25
13,1.563,19.659,-6.25,-6.15
14,1.572,19.717,-6.15,-4.01
