,a,b,K validity range (lower limit),K validity range (upper limit)
0,-0.7,7.756,1.842,1.537
1,-0.966,8.165,1.537,1.334
2,-1.403,8.747,1.334,1.056
3,-2.085,9.468,1.056,0.805
4,-2.805,10.047,0.805,0.293
5,-2.05,9.826,0.293,0.031
6,-2.129,9.828,0.031,-0.03
7,-2.773,9.809,-0.03,-0.086
8,-3.202,9.772,-0.086,-1.137
