,a,b,K validity range (lower limit),K validity range (upper limit)
0,-0.252,-1.689,-14.0,-11.67
1,-0.17,-0.728,-11.67,-10.86
2,-0.237,-1.458,-10.86,-10.47
3,-0.467,-3.86,-10.47,-10.0
4,-0.253,-1.725,-10.0,-9.5
5,-0.311,-2.276,-9.5,-9.25
6,-0.281,-2.001,-9.25,-8.1
7,-0.402,-2.98,-8.1,-7.84
8,-0.402,-2.98,-7.84,-7.73
9,-0.075,-0.448,-7.73,-6.93
10,-0.153,-0.991,-6.93,-6.15
11,-0.508,-3.173,-6.15,-4.01
