,a,b,K validity range (lower limit),K validity range (upper limit)
0,-0.391,-3.214,-14.0,-11.7
1,-0.24,-1.447,-11.7,-11.3
2,-0.418,-3.46,-11.3,-10.95
3,-0.172,-0.764,-10.95,-10.4
4,-0.554,-4.743,-10.4,-10.0
5,-0.299,-2.188,-10.0,-9.5
6,-0.249,-1.717,-9.5,-8.85
7,-0.294,-2.11,-8.85,-8.25
8,-0.281,-2.001,-8.25,-8.1
9,-0.402,-2.98,-8.1,-7.73
10,-0.075,-0.448,-7.73,-6.93
11,-0.11,-0.744,-7.33,-5.94
12,-0.204,-1.305,-5.94,-4.01
