,a,b,K validity range (lower limit),K validity range (upper limit)
0,-0.645,7.688,2.26,1.791
1,-0.645,7.688,1.791,1.478
2,-1.303,8.66,1.478,1.075
3,-2.051,9.464,1.075,0.802
4,-2.754,10.029,0.802,0.288
5,-2.303,9.899,0.288,0.032
6,-2.14,9.893,0.032,-0.093
7,-3.174,9.797,-0.093,-0.487
