Z,K validity range(lower limit),K validity range(upper limit)
0.03,,-8.3
0.02,-8.3,-7.95
0.01,-7.95,-7.45
0.008,-7.45,-7.15
0.006,-7.15,-6.75
0.003,-6.75,-6.15
0.001,-6.15,
