Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_035,log_t,age_035 (years),delta_t (years)
F1,10375,623.502,566.5,138,0.684,24.01,23.7,22.91,72.43,-0.72,0.19,1.2,12.45,2.841E+12,9047991
F1,9271,482.027,808.044,120,0.644,24.36,23.13,22.82,76.81,-0.69,0.2,1.64,12.36,2.27656E+12,7251367
F1,7432,709.054,98.738,83,1.133,24.03,22.75,22.8,57.51,-0.69,0.21,1.33,12.34,2.16722E+12,6903383
F1,7608,695.119,51.824,71,1.197,24.2,23.57,22.6,47.61,-0.62,0.24,1.7,12.12,1.32478E+12,4223301
F1,5333,389.254,296.955,268,1.41,24.3,22.83,22.59,28.92,-0.62,0.24,1.81,12.11,1.29257E+12,4120913
F1,7740,751.847,22.71,114,0.806,24.03,99.99,22.57,67.75,-0.61,0.25,1.56,12.09,1.23049E+12,3923568
F1,8319,28.685,532.373,136,0.612,23.76,22.94,22.54,76.69,-0.6,0.25,1.32,12.06,1.14292E+12,3645242
F1,6710,858.503,549.942,86,1.02,23.09,23.58,22.53,61.68,-0.6,0.25,0.66,12.05,1.11514E+12,3556957
F1,8575,455.378,425.579,236,0.871,23.71,22.93,22.49,49.46,-0.58,0.26,1.32,12,1.01059E+12,3224856
F1,7098,567.725,655.871,85,0.85,23.69,23.11,22.46,69.95,-0.57,0.27,1.33,11.97,9.38667E+11,2996477
F1,6514,521.932,816.652,105,0.695,23.84,23.3,22.35,75.84,-0.54,0.29,1.59,11.85,7.16051E+11,2290378
F1,7219,394.372,341.06,84,0.54,23.36,22.18,22.31,81.75,-0.52,0.3,1.15,11.81,6.48921E+11,2077796
F1,5906,513.17,810.87,207,0.746,23.43,22.33,22.11,61.38,-0.46,0.35,1.42,11.6,3.96672E+11,1281944
F1,6480,845.449,630.594,225,0.803,23.41,22.43,22.1,55.63,-0.46,0.35,1.41,11.59,3.87029E+11,1251676
F1,5123,572.458,659.62,70,0.948,23.64,23.08,22.1,64.12,-0.46,0.35,1.64,11.59,3.87029E+11,1251676
F1,3545,899.173,0.91,149,0.257,23.6,99.99,22.07,53.1,-0.45,0.36,1.63,11.56,3.59484E+11,1165318
F1,4980,388.986,69.78,85,0.453,23.17,22.7,22.02,79.11,-0.43,0.37,1.25,11.5,3.17863E+11,1035175
F1,6733,475.878,385.235,567,1.147,23.51,23.23,21.99,13.47,-0.42,0.38,1.62,11.47,2.95241E+11,964655
F1,5266,714.185,407.121,133,0.484,23.14,21.99,21.97,79.1,-0.41,0.39,1.27,11.45,2.81061E+11,920546
F1,4919,813.52,332.95,252,0.655,22.94,22.37,21.97,67.2,-0.41,0.39,1.07,11.45,2.81061E+11,920546
F1,5225,97.012,404.027,116,0.486,22.5,22.27,21.96,80.13,-0.41,0.39,0.64,11.44,2.74228E+11,899323
F1,4237,119.598,678.105,270,0.719,23.23,22.44,21.9,61.81,-0.39,0.41,1.43,11.37,2.36583E+11,782788
F1,4098,103,615.344,89,0.589,23.27,21.65,21.88,81.32,-0.38,0.41,1.49,11.35,2.25221E+11,747773
F1,5340,346.614,200.477,152,0.868,24.56,22.69,22.3,57.49,-0.36,0.43,1.55,11.29,1.94566E+11,653787
F1,4374,806.535,341.542,138,0.356,22.84,21.91,21.75,70.23,-0.34,0.46,1.19,11.21,1.63555E+11,559646
F1,4211,519.771,822.923,574,0.755,22.04,21.71,21.73,24.16,-0.33,0.46,0.41,11.19,1.557E+11,535999
F1,4795,424.331,-17.963,256,1.59,23.38,23.03,21.72,33.27,-0.33,0.47,1.76,11.18,1.51915E+11,524639
F1,3586,51.917,654.58,308,0.362,22.74,22.11,21.63,68.98,-0.3,0.5,1.21,11.09,1.21733E+11,435069
F1,4052,523.697,838.905,144,0.962,24.46,22.81,22.12,53.07,-0.29,0.51,1.55,11.05,1.11948E+11,406527
F1,2860,206.907,513.45,172,0.358,22.3,21.85,21.57,68.94,-0.28,0.53,0.83,11.02,1.05022E+11,386523
F1,3515,565.427,841.839,178,0.379,23.41,24.46,21.54,70.86,-0.27,0.54,1.97,10.99,97547577819,365153
F1,2927,264.14,316.748,458,0.312,22.65,21.67,21.5,51.87,-0.26,0.55,1.25,10.95,88402496555,339380
F1,2050,54.552,767.989,418,0.821,23.15,99.99,21.48,46.61,-0.25,0.56,1.77,10.93,84156671448,327582
F1,2900,161.874,584.081,456,0.256,22.57,21.62,21.48,43.68,-0.25,0.56,1.19,10.93,84156671448,327582
F1,2872,576.165,524.68,125,0.245,22.91,21.52,21.45,50.84,-0.24,0.58,1.56,10.89,78167204405,311158
F1,1903,251.772,690.018,226,0.53,22.05,21.87,21.43,73.99,-0.23,0.58,0.72,10.87,74412963383,301013
F1,2266,324.743,541.049,303,0.311,22.09,21.4,21.34,62.36,-0.2,0.63,0.85,10.78,59628885199,262586
F1,4036,681.597,88.905,166,0.763,24.56,24.1,21.98,63.49,-0.2,0.63,1.55,10.76,57066157126,256252
F1,2093,719.435,768.779,248,0.359,22.09,21.33,21.26,67.77,-0.18,0.67,0.93,10.69,48972555828,237181
F1,2364,521.966,828.285,244,0.517,21.86,21.51,21.26,74.09,-0.18,0.67,0.7,10.69,48972555828,237181
F1,2108,722.411,633.752,180,0.2,22.7,22,21.25,38.34,-0.17,0.67,1.55,10.68,47782050175,234524
F1,1806,65.875,646.566,231,0.395,21.92,21.24,21.22,70.95,-0.16,0.69,0.8,10.65,44381380806,227199
F1,2014,862.1,33.721,468,0.496,23.1,21.63,21.21,59.66,-0.16,0.69,1.99,10.64,43302485007,224968
F1,2015,644.197,327.874,191,0.32,21.84,21.08,21.21,63.31,-0.16,0.69,0.73,10.64,43302485007,224968
F1,1851,227.825,255.322,271,0.303,22.4,21.84,21.17,60.59,-0.15,0.71,1.33,10.59,39242878883,217062
F1,1840,263.55,751.289,230,0.301,22.09,21.68,21.16,59.84,-0.14,0.72,1.03,10.58,38288898263,215334
F1,1649,777.55,813.482,232,0.454,22.1,21.49,21.13,73.88,-0.13,0.73,1.07,10.55,35563860660,210729
F1,1671,74.539,825.258,226,0.365,21.98,21.65,21.12,68.33,-0.13,0.74,0.96,10.54,34699315683,209385
F1,1775,763.695,286.694,217,0.267,21.98,21.53,21.11,53.69,-0.13,0.75,0.97,10.53,33855787490,208135
F1,1911,865.938,292.732,179,0.315,22.38,21.5,21.08,62.92,-0.12,0.76,1.4,10.5,31446256316,204946
F1,1943,652.101,471.075,206,0.366,21.72,21.2,21.06,68.69,-0.11,0.77,0.76,10.48,29935944845,203284
F1,1629,768.512,220.448,216,0.277,22.37,21.55,21.05,55.64,-0.11,0.78,1.42,10.47,29208212527,202590
F1,1735,511.708,-8.212,202,0.26,22.12,21.43,21.05,52.42,-0.11,0.78,1.17,10.47,29208212527,202590
F1,1832,105.314,515.071,197,0.414,21.75,20.94,21.05,72.82,-0.11,0.78,0.8,10.47,29208212527,202590
F1,1867,878.28,140.257,250,0.246,22.55,22.14,21.03,49.36,-0.1,0.79,1.62,10.44,27805390583,201480
F1,1554,164.071,564.966,203,0.488,21.58,20.89,21.02,74.97,-0.1,0.8,0.66,10.43,27129451292,201064
F1,1810,606.95,-17.238,304,0.506,22.42,21.51,21.01,74.8,-0.09,0.8,1.51,10.42,26469943847,200740
F1,4712,781.172,313.477,169,0.793,26.58,23.18,22.49,60.83,-0.09,0.82,1.55,10.4,25218798967,200373
F1,892,30.38,244.955,370,0.727,22.53,21.35,20.99,59.15,-0.09,0.82,1.64,10.4,25198636401,200370
F1,1539,89.59,146.109,204,0.289,22.15,21.74,20.99,57.99,-0.09,0.82,1.26,10.4,25198636401,200370
F1,1897,357.604,318.509,490,0.471,22.18,21.24,20.97,54.42,-0.08,0.83,1.31,10.38,23988387740,200375
F1,1682,206.538,46.923,206,0.267,22.29,21.25,20.97,53.79,-0.08,0.83,1.42,10.38,23988387740,200375
F1,1670,534.016,605.585,239,0.27,22.29,21.62,20.95,54.29,-0.07,0.84,1.44,10.36,22836265312,200761
F1,1177,854.54,771.523,286,0.509,21.72,21.34,20.94,74.56,-0.07,0.85,0.88,10.35,22281123713,201098
F1,1564,300.273,611.715,267,0.315,21.67,20.91,20.94,62.4,-0.07,0.85,0.83,10.35,22281123713,201098
