Field,[RMS2003],xpos,ypos,Per (days),A,Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_solar) ,jks_001,log_t,age_001 (years),delta_t (years)
F1,155,822.695,291.891,558,0.685,21.26,19.94,19.69,54.13,0.34,2.18,1.67,8.84,693750325.7,511023
F1,229,623.448,577.709,201,0.201,20.81,19.92,19.67,87.1,0.34,2.21,1.24,8.83,674094587.4,469332
F1,201,344.898,770.497,189,0.296,20.52,19.7,19.67,95.84,0.34,2.21,0.95,8.83,674094587.4,469332
F1,190,489.946,400.93,429,0.405,20.83,20.08,19.66,110.51,0.35,2.23,1.27,8.82,657724137.3,436118
F1,353,900.235,821.974,652,0.378,24.04,22.55,20.26,9.97,0.35,2.23,1.6,8.82,655034644.1,430802
F1,191,794.769,177.227,452,0.365,21.25,20.52,19.64,101.72,0.36,2.27,1.71,8.8,626166256.2,376410
F1,185,144.836,180.467,511,0.36,21.2,20.23,19.64,76.4,0.36,2.27,1.66,8.8,626166256.2,376410
F1,331,480.523,569.934,517,0.539,22.79,21.42,19.98,77.59,0.36,2.28,1.6,8.79,617461192.7,361009
F1,207,349.012,58.33,314,0.278,20.74,19.79,19.63,105.34,0.36,2.29,1.21,8.79,610959750.2,349820
F1,194,428.622,185.952,461,0.238,21.03,20.24,19.62,89.42,0.36,2.32,1.51,8.78,596122535.5,325306
F1,193,143.056,171.69,195,0.213,20.77,19.85,19.62,88.33,0.36,2.32,1.25,8.78,596122535.5,325306
F1,151,383.324,278.858,501,0.4,20.64,19.75,19.61,82.98,0.37,2.34,1.13,8.76,581645644,302779
F1,172,651.896,747.256,446,0.281,20.72,19.87,19.61,97.75,0.37,2.34,1.21,8.76,581645644,302779
F1,168,63.609,662.896,434,0.432,21.27,20.46,19.61,110.4,0.37,2.34,1.76,8.76,581645644,302779
F1,174,876.368,141.793,474,0.283,20.94,19.86,19.58,88.41,0.38,2.41,1.46,8.73,541644328.4,246680
F1,240,139.735,474.178,499,0.223,21.85,20.32,19.72,73.68,0.39,2.47,1.6,8.71,509231130.2,209132
F1,177,387.634,211.691,394,0.199,20.93,20.11,19.53,99.53,0.4,2.52,1.5,8.68,481579509.4,182663
F1,160,157.838,174.017,425,0.211,21.06,20.14,19.52,96.37,0.41,2.55,1.64,8.67,470390736,173334
F1,233,89.82,829.313,358,0.338,21.6,20.45,19.64,113.79,0.41,2.55,1.6,8.67,468857437.9,172115
F1,199,52.553,723.548,432,0.289,21.52,20.34,19.62,102.14,0.41,2.56,2,8.67,464287466.5,168567
F1,182,679.09,-5.543,442,0.175,20.5,19.89,19.51,88.76,0.41,2.57,1.09,8.66,459461916.7,164957
F1,183,110.136,846.65,452,0.446,22.02,99.99,19.71,105.37,0.42,2.61,1.6,8.65,444848176.8,154853
F1,164,645.768,675.4,527,0.384,21.17,19.99,19.46,69.08,0.43,2.7,1.81,8.61,408510590.5,134865
F1,166,476.846,747.158,214,0.254,20.95,19.82,19.46,92.28,0.43,2.7,1.59,8.61,408510590.5,134865
F1,184,358.08,68.748,478,0.295,21.54,20.46,19.58,87.69,0.43,2.7,1.6,8.61,407178998.7,134265
F1,146,241.723,710.178,471,0.293,20.83,20.03,19.45,90.28,0.44,2.72,1.48,8.6,399019463.2,130784
F1,161,681.411,593.494,501,0.328,21.03,20.23,19.45,79.68,0.44,2.72,1.68,8.6,399019463.2,130784
F1,236,130.784,541.867,475,0.589,22.91,21.39,19.83,98.35,0.45,2.82,1.6,8.56,365827719.7,119969
F1,178,281.918,543.03,538,0.398,21.43,20.27,19.48,63.61,0.47,2.96,1.6,8.51,323882195.8,113498
F1,129,366.442,678.245,515,0.304,20.93,19.97,19.36,71.66,0.47,2.97,1.67,8.51,322931879.3,113439
F1,100,469.319,296.353,618,0.418,20.72,19.78,19.33,22.66,0.48,3.05,1.49,8.48,300942275.2,113061
F1,133,16.431,426.376,486,0.322,21.43,20.39,19.44,86.11,0.49,3.11,1.6,8.46,287589943.2,113687
F1,171,205.283,725.663,452,0.328,21.72,20.23,19.49,99.42,0.5,3.15,1.6,8.45,278715662.7,114407
F1,170,280.584,257.958,499,0.276,22.35,20.94,19.55,77.47,0.54,3.43,1.6,8.35,225175935.1,120258
F1,104,860.14,629.895,232,0.181,19.91,19.28,19.13,86.21,0.56,3.59,0.88,8.3,201435958.8,119237
F1,84,218.231,79.339,432,0.469,19.16,19.01,18.94,112.18,0.6,4.02,0.32,8.18,152988680.9,90778
F1,91,860.939,628.112,440,0.235,19.64,19.28,18.88,95.33,0.62,4.16,0.86,8.15,140318521.5,76112
F1,77,859.402,627.796,411,0.353,18.93,18.41,18.72,111.27,0.67,4.69,0.31,8.04,110347322.6,33318
F1,73,688.817,405.675,137,0.182,19.88,19.16,18.55,89.3,0.77,5.84,1.43,7.85,70813229.3,5103
F1,64,610.32,803.826,430,0.202,19.03,18.45,18.36,94.4,0.87,7.46,0.77,7.64,43561613.76,1402
F1,53,107.785,832.967,448,0.203,19.91,19.01,18.09,90.07,0.99,9.67,1.92,7.45,28095419.43,979
F1,31,460.926,401.982,432,0.513,19.11,18.05,17.37,113.15,1.22,16.41,1.84,7.11,12895554.46,10011
