Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_039,log_t,age_039 (years),delta_t (years)
F1,10375,623.502,566.5,138,0.684,24.01,23.7,22.91,72.43,-0.75,0.18,1.2,12.54,3.49854E+12,16706719
F1,9271,482.027,808.044,120,0.644,24.36,23.13,22.82,76.81,-0.72,0.19,1.64,12.44,2.77421E+12,13247905
F1,7432,709.054,98.738,83,1.133,24.03,22.75,22.8,57.51,-0.71,0.19,1.33,12.42,2.63482E+12,12582302
F1,7608,695.119,51.824,71,1.197,24.2,23.57,22.6,47.61,-0.64,0.23,1.7,12.2,1.5735E+12,7514653
F1,5333,389.254,296.955,268,1.41,24.3,22.83,22.59,28.92,-0.64,0.23,1.81,12.19,1.53346E+12,7323488
F1,7740,751.847,22.71,114,0.806,24.03,99.99,22.57,67.75,-0.63,0.23,1.56,12.16,1.45641E+12,6955635
F1,8319,28.685,532.373,136,0.612,23.76,22.94,22.54,76.69,-0.62,0.24,1.32,12.13,1.34804E+12,6438238
F1,6710,858.503,549.942,86,1.02,23.09,23.58,22.53,61.68,-0.62,0.24,0.66,12.12,1.31373E+12,6274480
F1,8575,455.378,425.579,236,0.871,23.71,22.93,22.49,49.46,-0.61,0.25,1.32,12.07,1.18503E+12,5660104
F1,7098,567.725,655.871,85,0.85,23.69,23.11,22.46,69.95,-0.6,0.25,1.33,12.04,1.09685E+12,5239190
F1,6514,521.932,816.652,105,0.695,23.84,23.3,22.35,75.84,-0.56,0.28,1.59,11.92,8.26059E+11,3946944
F1,7219,394.372,341.06,84,0.54,23.36,22.18,22.31,81.75,-0.54,0.29,1.15,11.87,7.45134E+11,3560913
F1,5906,513.17,810.87,207,0.746,23.43,22.33,22.11,61.38,-0.47,0.34,1.42,11.65,4.44989E+11,2130762
F1,6480,845.449,630.594,225,0.803,23.41,22.43,22.1,55.63,-0.47,0.34,1.41,11.64,4.33666E+11,2076903
F1,5123,572.458,659.62,70,0.948,23.64,23.08,22.1,64.12,-0.47,0.34,1.64,11.64,4.33666E+11,2076903
F1,3545,899.173,0.91,149,0.257,23.6,99.99,22.07,53.1,-0.46,0.35,1.63,11.6,4.01396E+11,1923480
F1,4980,388.986,69.78,85,0.453,23.17,22.7,22.02,79.11,-0.44,0.36,1.25,11.55,3.52859E+11,1692968
F1,6733,475.878,385.235,567,1.147,23.51,23.23,21.99,13.47,-0.43,0.37,1.62,11.51,3.26602E+11,1568426
F1,5340,346.614,200.477,152,0.868,24.56,22.69,22.3,57.49,-0.43,0.37,1.6,11.5,3.18291E+11,1529036
F1,5266,714.185,407.121,133,0.484,23.14,21.99,21.97,79.1,-0.43,0.38,1.27,11.49,3.10192E+11,1490663
F1,4919,813.52,332.95,252,0.655,22.94,22.37,21.97,67.2,-0.43,0.38,1.07,11.49,3.10192E+11,1490663
F1,5225,97.012,404.027,116,0.486,22.5,22.27,21.96,80.13,-0.42,0.38,0.64,11.48,3.02299E+11,1453282
F1,4237,119.598,678.105,270,0.719,23.23,22.44,21.9,61.81,-0.4,0.4,1.43,11.41,2.58983E+11,1248477
F1,4098,103,615.344,89,0.589,23.27,21.65,21.88,81.32,-0.39,0.4,1.49,11.39,2.4597E+11,1187085
F1,4052,523.697,838.905,144,0.962,24.46,22.81,22.12,53.07,-0.36,0.44,1.6,11.27,1.85018E+11,900795
F1,4374,806.535,341.542,138,0.356,22.84,21.91,21.75,70.23,-0.35,0.45,1.19,11.25,1.75937E+11,858397
F1,4211,519.771,822.923,574,0.755,22.04,21.71,21.73,24.16,-0.34,0.46,0.41,11.22,1.67097E+11,817209
F1,4795,424.331,-17.963,256,1.59,23.38,23.03,21.72,33.27,-0.34,0.46,1.76,11.21,1.62845E+11,797432
F1,3586,51.917,654.58,308,0.362,22.74,22.11,21.63,68.98,-0.31,0.49,1.21,11.11,1.2913E+11,641633
F1,2860,206.907,513.45,172,0.358,22.3,21.85,21.57,68.94,-0.29,0.52,0.83,11.04,1.10627E+11,557210
F1,3515,565.427,841.839,178,0.379,23.41,24.46,21.54,70.86,-0.28,0.53,1.97,11.01,1.02395E+11,520008
F1,4036,681.597,88.905,166,0.763,24.56,24.1,21.98,63.49,-0.28,0.53,1.6,11.01,1.01894E+11,517751
F1,2927,264.14,316.748,458,0.312,22.65,21.67,21.5,51.87,-0.26,0.55,1.25,10.97,92363916502,475070
F1,2900,161.874,584.081,456,0.256,22.57,21.62,21.48,43.68,-0.26,0.56,1.19,10.94,87723085744,454456
F1,2050,54.552,767.989,418,0.821,23.15,99.99,21.48,46.61,-0.26,0.56,1.77,10.94,87723085744,454456
F1,4712,781.172,313.477,169,0.793,26.58,23.18,22.49,60.83,-0.25,0.56,1.6,10.94,86122777697,447378
F1,2872,576.165,524.68,125,0.245,22.91,21.52,21.45,50.84,-0.24,0.57,1.56,10.91,81195365290,425689
F1,1903,251.772,690.018,226,0.53,22.05,21.87,21.43,73.99,-0.24,0.58,0.72,10.89,77115699086,407867
F1,2266,324.743,541.049,303,0.311,22.09,21.4,21.34,62.36,-0.21,0.62,0.85,10.79,61149768890,339678
F1,2364,521.966,828.285,244,0.517,21.86,21.51,21.26,74.09,-0.18,0.66,0.7,10.7,49755496004,293293
F1,2093,719.435,768.779,248,0.359,22.09,21.33,21.26,67.77,-0.18,0.66,0.93,10.7,49755496004,293293
F1,2108,722.411,633.752,180,0.2,22.7,22,21.25,38.34,-0.18,0.67,1.55,10.69,48489403321,288314
F1,1806,65.875,646.566,231,0.395,21.92,21.24,21.22,70.95,-0.16,0.68,0.8,10.65,44881171039,274377
F1,2015,644.197,327.874,191,0.32,21.84,21.08,21.21,63.31,-0.16,0.69,0.73,10.64,43739111833,270053
