Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years)
F1,10375,623.502,566.5,138,0.684,24.01,23.7,22.91,72.43,-0.34,0.46,1.2,11.06,1.15524E+11,3184
F1,9271,482.027,808.044,120,0.644,24.36,23.13,22.82,76.81,-0.32,0.48,1.64,11.01,1.02285E+11,3757
F1,7432,709.054,98.738,83,1.133,24.03,22.75,22.8,57.51,-0.32,0.48,1.33,11,99555624275,3902
F1,7608,695.119,51.824,71,1.197,24.2,23.57,22.6,47.61,-0.28,0.52,1.7,10.88,75962246494,5810
F1,5333,389.254,296.955,268,1.41,24.3,22.83,22.59,28.92,-0.28,0.53,1.81,10.87,74941848309,5932
F1,7740,751.847,22.71,114,0.806,24.03,99.99,22.57,67.75,-0.28,0.53,1.56,10.86,72941988733,6186
F1,8319,28.685,532.373,136,0.612,23.76,22.94,22.54,76.69,-0.27,0.54,1.32,10.85,70041816376,6591
F1,6710,858.503,549.942,86,1.02,23.09,23.58,22.53,61.68,-0.27,0.54,0.66,10.84,69100947121,6733
F1,8575,455.378,425.579,236,0.871,23.71,22.93,22.49,49.46,-0.26,0.55,1.32,10.82,65462170361,7337
F1,7098,567.725,655.871,85,0.85,23.69,23.11,22.46,69.95,-0.26,0.56,1.33,10.8,62859395468,7832
F1,6514,521.932,816.652,105,0.695,23.84,23.3,22.35,75.84,-0.24,0.58,1.59,10.73,54170494488,10006
F1,7219,394.372,341.06,84,0.54,23.36,22.18,22.31,81.75,-0.23,0.59,1.15,10.71,51317938270,10961
F1,5906,513.17,810.87,207,0.746,23.43,22.33,22.11,61.38,-0.19,0.64,1.42,10.59,39156259677,17542
F1,5340,346.614,200.477,152,0.868,24.56,22.69,22.3,57.49,-0.19,0.64,1.6,10.59,38823219771,17811
F1,5123,572.458,659.62,70,0.948,23.64,23.08,22.1,64.12,-0.19,0.64,1.64,10.59,38630275018,17970
