Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F2,3941,365.734,210.995,231,0.364,21.72,21.0,20.98,36.32,0.01100000000000012,1.03,0.8399999999999999,9.929107,8493897190.0,285831,0.8399999999999999,1.0256519262514079,20.82,8493897190.140956,285830.6453043309
F2,5022,826.351,18.085,331,0.56,22.61,99.99,20.97,50.18,0.012800000000000367,1.03,1.740000000000002,9.923233599999998,8379798968.0,292461,1.740000000000002,1.0299117193407,20.81,8379798968.031762,292460.8744981053
F2,3712,424.787,437.69,231,0.365,21.87,21.03,20.96,36.43,0.014599999999999946,1.03,1.0100000000000016,9.9173602,8267233423.0,299222,1.0100000000000016,1.0341892044331928,20.8,8267233423.325841,299221.8395962047
F2,3888,797.245,635.009,236,0.385,22.15,21.35,20.96,38.42,0.014599999999999946,1.03,1.2899999999999991,9.9173602,8267233423.0,299222,1.2899999999999991,1.0341892044331928,20.8,8267233423.325841,299221.8395962047
F2,3792,126.725,511.1,247,0.435,21.73,21.03,20.95,42.79,0.016400000000000192,1.04,0.8800000000000026,9.911486799999999,8156179968.0,306115,0.8800000000000026,1.0384844550082744,20.79,8156179967.621458,306115.12527145055
F2,4017,428.467,358.329,245,0.584,22.27,21.58,20.94,51.17,0.018199999999999994,1.04,1.4299999999999997,9.9056134,8046618289.0,313142,1.4299999999999997,1.0427975448505062,20.78,8046618289.080323,313142.2952965166
F2,4487,371.452,94.176,259,0.307,22.51,21.71,20.94,28.69,0.018199999999999994,1.04,1.6700000000000017,9.9056134,8046618289.0,313142,1.6700000000000017,1.0427975448505062,20.78,8046618289.080323,313142.2952965166
F2,3435,242.104,343.433,274,0.456,22.56,21.43,20.93,43.98,0.02000000000000024,1.05,1.7300000000000004,9.89974,7938528349.0,320305,1.7300000000000004,1.0471285480509,20.77,7938528348.712222,320304.8905673531
F2,4053,507.566,223.257,280,0.306,21.91,21.01,20.92,28.41,0.02179999999999982,1.05,1.0899999999999999,9.8938666,7831890377.0,327604,1.0899999999999999,1.0514775390081819,20.76,7831890376.710123,327604.4270729969
F2,2818,696.376,337.355,276,0.531,22.08,21.13,20.92,48.53,0.02179999999999982,1.05,1.259999999999998,9.8938666,7831890377.0,327604,1.259999999999998,1.0514775390081819,20.76,7831890376.710123,327604.4270729969
F2,4034,727.69,229.53,259,0.332,21.81,21.24,20.91,31.85,0.023600000000000065,1.06,1.0,9.8879932,7726684869.0,335042,1.0,1.0558445924300803,20.75,7726684868.833987,335042.39381221985
F2,3848,615.164,452.077,260,0.426,22.38,21.77,20.91,41.72,0.023600000000000065,1.06,1.5700000000000003,9.8879932,7726684869.0,335042,1.5700000000000003,1.0558445924300803,20.75,7726684868.833987,335042.39381221985
F2,3042,382.359,678.613,456,0.538,22.67,22.09,20.91,47.16,0.023600000000000065,1.06,1.860000000000003,9.8879932,7726684869.0,335042,1.860000000000003,1.0558445924300803,20.75,7726684868.833987,335042.39381221985
F2,3846,167.066,449.521,254,0.407,21.84,21.26,20.91,40.1,0.023600000000000065,1.06,1.0300000000000011,9.8879932,7726684869.0,335042,1.0300000000000011,1.0558445924300803,20.75,7726684868.833987,335042.39381221985
F2,3668,577.917,197.946,261,0.444,21.83,21.22,20.91,43.21,0.023600000000000065,1.06,1.0199999999999996,9.8879932,7726684869.0,335042,1.0199999999999996,1.0558445924300803,20.75,7726684868.833987,335042.39381221985
