,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
0,649.102,266.481,22.76,22.21,0.5500000000000007,92,0.758,61.57,-0.29772,0.5038253322940577,10.819479999999999,65990284391.47797,6.249486837730074,1776179.4363646484,0.001,2.3
1,579.266,356.438,22.48,21.85,0.629999999999999,219,1.096,41.95,-0.11484000000000005,0.7676442478648765,10.253559999999998,17929162357.876137,5.689303777418409,488994.27821578813,0.001,2.3
2,775.775,569.576,21.880000000000003,21.669999999999998,0.2100000000000044,89,0.936,57.51,-0.04239999999999955,0.9069847815057934,9.968399999999995,9298223905.853712,5.251377604118783,178392.915840737,0.003,2.3
3,204.386,427.624,24.110000000000003,21.631824999999996,1.6,105,0.693,62.66,-0.036559224999999196,0.9192651055198755,9.90873247499999,8104616604.206693,5.221500049525767,166532.90176946265,0.003,2.3
4,256.48,86.847,22.130000000000003,21.38,0.7500000000000036,282,0.757,50.94,0.0019700000000002493,1.0045463962749208,9.828209999999999,6733021480.360868,5.360192307446718,229188.22833485037,0.003,2.3
5,889.962,684.094,22.16,21.38,0.7800000000000011,213,0.607,53.52,0.0019700000000002493,1.0045463962749208,9.828209999999999,6733021480.360868,5.360192307446718,229188.22833485037,0.003,2.3
6,731.358,506.045,23.82,21.325562499999997,1.6,225,1.315,36.21,0.010298937500000549,1.0239975970269348,9.813457437499999,6508148254.031701,5.397765303205703,249899.4516747429,0.003,2.3
7,121.917,845.695,22.82,21.3,1.5199999999999996,191,0.427,45.13,0.014209999999999945,1.0332609109314268,9.806529999999999,6405160253.207491,5.452281880327896,283323.03170369606,0.006,2.3
8,773.927,576.531,21.93,21.2,0.7300000000000004,308,0.726,51.53,0.029510000000000258,1.0703110274498204,9.77943,6017692613.372403,5.533569227589384,341640.40465157205,0.006,2.3
9,198.408,281.172,22.42,21.13,1.2900000000000027,188,0.364,38.59,0.040220000000000256,1.0970337784084345,9.753559999999998,5669698958.984353,5.584939508214756,384538.21695462853,0.006,2.3
10,715.893,492.961,23.080000000000002,21.11,1.9700000000000024,165,1.206,43.02,0.04328000000000032,1.1047906752089904,9.741439999999997,5513660230.884493,5.595060386828667,393604.80074995913,0.006,2.3
11,72.087,743.065,23.44,21.09382251082251,1.7,244,0.2,13.18,0.04575515584415635,1.1111051379233305,9.73163644155844,5390591740.765642,5.603296233603682,401140.24332577374,0.006,2.3
12,351.475,586.85,21.69,21.06,0.6300000000000026,181,0.401,43.29,0.05093000000000025,1.1244237236689683,9.711139999999997,5142093863.891811,5.620644438450063,417488.42443939165,0.006,2.3
13,17.627,422.046,22.360000000000003,21.06,1.3000000000000043,403,0.779,51.11,0.05093000000000025,1.1244237236689683,9.711139999999997,5142093863.891811,5.620644438450063,417488.42443939165,0.006,2.3
14,811.716,705.519,22.380000000000003,21.05,1.3300000000000018,180,0.408,44.11,0.05246000000000006,1.128392003997221,9.705079999999999,5070841080.166458,5.6258041912915715,422478.0902217449,0.006,2.3
15,823.415,300.274,22.32,21.05,1.2699999999999996,193,0.474,48.91,0.05246000000000006,1.128392003997221,9.705079999999999,5070841080.166458,5.6258041912915715,422478.0902217449,0.006,2.3
16,575.631,243.74,22.400000000000002,21.04,1.360000000000003,205,0.409,42.41,0.053990000000000316,1.1323742890537922,9.699019999999997,5000575629.485344,5.630976659773994,427539.9083182173,0.006,2.3
17,179.661,481.922,22.14,21.0,1.1400000000000006,185,0.333,34.86,0.06011000000000022,1.1484444676841896,9.674779999999998,4729116360.315079,5.651779675673258,448517.79217342584,0.006,2.3
18,126.101,446.682,21.26,20.93,0.33000000000000185,132,0.557,59.21,0.07250000000000006,1.181680312544784,9.63998,4364957304.060675,5.708569970102473,511175.42895787675,0.006,2.3
19,891.524,655.324,20.830000000000002,20.93,-0.09999999999999787,170,1.789,43.14,0.07250000000000006,1.181680312544784,9.63998,4364957304.060675,5.708569970102473,511175.42895787675,0.006,2.3
20,892.692,803.489,21.990000000000002,20.91,1.0800000000000018,268,0.712,51.67,0.07400000000000001,1.1857687481671602,9.638319999999998,4348305011.162446,5.718020424123422,522420.75697216915,0.006,2.3
21,886.928,345.232,22.53,20.91,1.620000000000001,222,0.431,43.47,0.07400000000000001,1.1857687481671602,9.638319999999998,4348305011.162446,5.718020424123422,522420.75697216915,0.006,2.3
22,173.995,551.437,22.62,20.89,1.7300000000000004,225,0.337,33.34,0.07549999999999996,1.1898713291600405,9.63666,4331716246.68833,5.727473202642786,533916.3282143216,0.006,2.3
23,409.992,310.652,21.810000000000002,20.88,0.9300000000000033,301,0.304,28.19,0.0762500000000001,1.1919279394578275,9.635829999999999,4323445611.836433,5.732200237301711,539759.4284843567,0.006,2.3
24,33.263,194.56,21.990000000000002,20.88,1.110000000000003,493,0.596,45.46,0.0762500000000001,1.1919279394578275,9.635829999999999,4323445611.836433,5.732200237301711,539759.4284843567,0.006,2.3
25,695.073,132.244,22.35,20.88,1.4700000000000024,254,0.566,50.31,0.0762500000000001,1.1919279394578275,9.635829999999999,4323445611.836433,5.732200237301711,539759.4284843567,0.006,2.3
26,162.064,292.952,21.880000000000003,20.86,1.0200000000000031,135,0.34,38.83,0.07775000000000004,1.1960518303234464,9.63417,4306951685.861302,5.741655142524303,551639.2286427628,0.006,2.3
27,817.172,410.033,22.42,20.85,1.5700000000000003,218,0.423,42.96,0.07849999999999996,1.1981191231900339,9.633339999999999,4298728334.494336,5.74638283034697,557677.124404992,0.006,2.3
28,367.091,62.301,22.12,20.85,1.2699999999999996,240,0.323,31.11,0.07849999999999996,1.1981191231900339,9.633339999999999,4298728334.494336,5.74638283034697,557677.124404992,0.006,2.3
29,728.664,434.58,22.55,20.84,1.7100000000000009,223,0.2,13.45,0.0792500000000001,1.2001899892293626,9.63251,4290520684.141152,5.75111055272021,563781.1520255888,0.006,2.3
30,359.017,404.042,21.91,20.83,1.0800000000000018,276,0.292,26.57,0.08000000000000013,1.2022644346174132,9.63168,4282328704.8234468,5.755838217632629,569951.9155717612,0.006,2.3
31,661.932,529.525,21.87,20.83,1.0400000000000027,228,0.457,45.31,0.08000000000000013,1.2022644346174132,9.63168,4282328704.8234468,5.755838217632629,569951.9155717612,0.006,2.3
32,590.112,30.28,22.21,20.83,1.3800000000000026,214,0.341,34.3,0.08000000000000013,1.2022644346174132,9.63168,4282328704.8234468,5.755838217632629,569951.9155717612,0.006,2.3
33,124.064,247.886,22.220000000000002,20.82,1.4000000000000021,239,0.34,33.24,0.08075000000000004,1.2043424655408428,9.630849999999999,4274152366.6202083,5.76056573282088,576190.0214393131,0.006,2.3
34,365.734,210.995,21.66,20.82,0.8399999999999999,231,0.364,36.32,0.08075000000000004,1.2043424655408428,9.630849999999999,4274152366.6202083,5.76056573282088,576190.0214393131,0.006,2.3
35,826.351,18.085,22.55,20.81,1.740000000000002,331,0.56,50.18,0.08150000000000018,1.2064240881970019,9.630019999999998,4265991639.667535,5.765293005772112,582496.0782805214,0.006,2.3
36,424.787,437.69,21.810000000000002,20.8,1.0100000000000016,231,0.365,36.43,0.08224999999999999,1.2085093087939507,9.62919,4257846494.1585627,5.7700199437264565,588870.6969297518,0.006,2.3
37,797.245,635.009,22.09,20.8,1.2899999999999991,236,0.385,38.42,0.08224999999999999,1.2085093087939507,9.62919,4257846494.1585627,5.7700199437264565,588870.6969297518,0.006,2.3
38,126.725,511.1,21.67,20.79,0.8800000000000026,247,0.435,42.79,0.08300000000000013,1.2105981335504827,9.628359999999999,4249716900.343286,5.774746453679535,595314.4903267714,0.006,2.3
39,428.467,358.329,22.21,20.78,1.4299999999999997,245,0.584,51.17,0.08374999999999994,1.212690568696137,9.62753,4241602828.5285716,5.779472442384973,601828.0734376973,0.006,2.3
40,371.452,94.176,22.450000000000003,20.78,1.6700000000000017,259,0.307,28.69,0.08374999999999994,1.212690568696137,9.62753,4241602828.5285716,5.779472442384973,601828.0734376973,0.006,2.3
41,242.104,343.433,22.5,20.77,1.7300000000000004,274,0.456,43.98,0.08450000000000008,1.214786620471223,9.6267,4233504249.07791,5.784197816356945,608412.0631735954,0.006,2.3
42,696.376,337.355,22.02,20.76,1.259999999999998,276,0.531,48.53,0.08524999999999988,1.2168862951268327,9.625869999999999,4225421132.411429,5.788922481872724,615067.0783066513,0.006,2.3
43,507.566,223.257,21.85,20.76,1.0899999999999999,280,0.306,28.41,0.08524999999999988,1.2168862951268327,9.625869999999999,4225421132.411429,5.788922481872724,615067.0783066513,0.006,2.3
44,790.515,407.132,23.87,20.75208658008658,1.7,568,0.619,34.73,0.08584350649350653,1.2185504278119814,9.625213186147185,4219035563.0443306,5.7926607439941495,620384.2219447686,0.006,2.3
45,727.69,229.53,21.75,20.75,1.0,259,0.332,31.85,0.08600000000000002,1.2189895989248667,9.625039999999998,4217353449.005717,5.793646344975264,621793.7393839292,0.006,2.3
46,167.066,449.521,21.78,20.75,1.0300000000000011,254,0.407,40.1,0.08600000000000002,1.2189895989248667,9.625039999999998,4217353449.005717,5.793646344975264,621793.7393839292,0.006,2.3
47,577.917,197.946,21.77,20.75,1.0199999999999996,261,0.444,43.21,0.08600000000000002,1.2189895989248667,9.625039999999998,4217353449.005717,5.793646344975264,621793.7393839292,0.006,2.3
48,615.164,452.077,22.32,20.75,1.5700000000000003,260,0.426,41.72,0.08600000000000002,1.2189895989248667,9.625039999999998,4217353449.005717,5.793646344975264,621793.7393839292,0.006,2.3
49,382.359,678.613,22.610000000000003,20.75,1.860000000000003,456,0.538,47.16,0.08600000000000002,1.2189895989248667,9.625039999999998,4217353449.005717,5.793646344975264,621793.7393839292,0.006,2.3
50,215.668,618.383,21.77,20.74,1.0300000000000011,249,0.416,41.06,0.08675000000000016,1.2210965381380452,9.62421,4209301169.3937497,5.798369311475785,628592.6686386399,0.006,2.3
51,434.079,220.827,21.950000000000003,20.74,1.2100000000000044,289,0.426,41.52,0.08675000000000016,1.2210965381380452,9.62421,4209301169.3937497,5.798369311475785,628592.6686386399,0.006,2.3
52,206.707,260.865,21.970000000000002,20.74,1.230000000000004,273,0.444,43.06,0.08675000000000016,1.2210965381380452,9.62421,4209301169.3937497,5.798369311475785,628592.6686386399,0.006,2.3
53,726.396,584.699,21.64,20.74,0.9000000000000021,234,0.303,28.66,0.08675000000000016,1.2210965381380452,9.62421,4209301169.3937497,5.798369311475785,628592.6686386399,0.006,2.3
54,409.452,459.005,22.02,20.73,1.2899999999999991,345,0.597,51.5,0.08749999999999997,1.2232071190499314,9.62338,4201264264.164713,5.803091286956375,635464.4898989146,0.006,2.3
55,429.095,18.648,22.5,20.73,1.7699999999999996,556,0.643,36.97,0.08749999999999997,1.2232071190499314,9.62338,4201264264.164713,5.803091286956375,635464.4898989146,0.006,2.3
56,308.61,837.671,22.42,20.72,1.7000000000000028,193,0.344,35.8,0.0882500000000001,1.2253213479549514,9.622549999999999,4193242703.963998,5.807812176772642,642409.82849409,0.006,2.3
57,327.911,236.23,21.57,20.72,0.8500000000000014,271,0.372,36.32,0.0882500000000001,1.2253213479549514,9.622549999999999,4193242703.963998,5.807812176772642,642409.82849409,0.006,2.3
58,331.157,843.819,22.03,20.72,1.3100000000000023,278,0.432,42.04,0.0882500000000001,1.2253213479549514,9.622549999999999,4193242703.963998,5.807812176772642,642409.82849409,0.006,2.3
59,589.101,506.609,22.240000000000002,20.72,1.5200000000000031,129,0.261,26.61,0.0882500000000001,1.2253213479549514,9.622549999999999,4193242703.963998,5.807812176772642,642409.82849409,0.006,2.3
60,421.316,212.971,21.84,20.72,1.120000000000001,232,0.436,43.42,0.0882500000000001,1.2253213479549514,9.622549999999999,4193242703.963998,5.807812176772642,642409.82849409,0.006,2.3
61,526.847,688.469,22.110000000000003,20.71,1.4000000000000021,243,0.2,13.19,0.08900000000000002,1.2274392311584073,9.62172,4185236459.4930444,5.81253188605633,649429.3111583723,0.006,2.3
62,68.814,80.933,22.39,20.71,1.6799999999999997,303,0.481,45.79,0.08900000000000002,1.2274392311584073,9.62172,4185236459.4930444,5.81253188605633,649429.3111583723,0.006,2.3
63,556.286,827.19,22.240000000000002,20.71,1.5300000000000011,262,0.357,34.76,0.08900000000000002,1.2274392311584073,9.62172,4185236459.4930444,5.81253188605633,649429.3111583723,0.006,2.3
64,94.439,172.691,21.900000000000002,20.71,1.1900000000000013,264,0.398,39.06,0.08900000000000002,1.2274392311584073,9.62172,4185236459.4930444,5.81253188605633,649429.3111583723,0.006,2.3
65,222.338,70.817,22.44,20.7,1.740000000000002,269,0.347,33.53,0.08975000000000005,1.2295607749765023,9.62089,4177245501.50918,5.817250319717998,656523.5659319651,0.006,2.3
66,790.322,76.998,21.59,20.68,0.9100000000000001,218,0.294,27.93,0.09125000000000011,1.2338148697760214,9.61923,4161309328.3112993,5.8266829787276455,670938.9098861829,0.006,2.3
67,646.109,97.475,21.900000000000002,20.669999999999998,1.230000000000004,302,0.468,44.9,0.09200000000000014,1.2359474334445109,9.6184,4153364054.890733,5.8313970128149855,678261.2607503724,0.006,2.3
68,215.796,325.273,21.720000000000002,20.66,1.0600000000000023,303,0.338,32.48,0.09275000000000005,1.2380836831018072,9.617569999999999,4145433951.5439925,5.8361093887644735,685660.9068746569,0.006,2.3
69,179.207,837.567,22.17,20.65,1.5200000000000031,262,0.321,30.45,0.0935000000000002,1.240223625118888,9.616739999999998,4137518989.306546,5.840820010421244,693138.4812532914,0.006,2.3
70,50.935,645.011,21.540000000000003,20.65,0.8900000000000041,241,0.386,38.36,0.0935000000000002,1.240223625118888,9.616739999999998,4137518989.306546,5.840820010421244,693138.4812532914,0.006,2.3
71,607.527,129.783,21.700000000000003,20.65,1.0500000000000043,155,0.312,33.72,0.0935000000000002,1.240223625118888,9.616739999999998,4137518989.306546,5.840820010421244,693138.4812532914,0.006,2.3
72,530.536,409.101,22.110000000000003,20.65,1.4600000000000044,209,0.374,38.46,0.0935000000000002,1.240223625118888,9.616739999999998,4137518989.306546,5.840820010421244,693138.4812532914,0.006,2.3
73,827.596,836.27,21.55,20.65,0.9000000000000021,274,0.495,46.62,0.0935000000000002,1.240223625118888,9.616739999999998,4137518989.306546,5.840820010421244,693138.4812532914,0.006,2.3
