,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
0,623.502,566.5,23.950000000000003,22.75,1.2000000000000028,138,0.684,72.43,-0.26051999999999986,0.5488832780159363,10.626359999999998,42301912248.1204,6.056393241684871,1138657.8424793892,0.001,2.3
1,482.027,808.044,24.3,22.66,1.6400000000000006,120,0.644,76.81,-0.24215999999999993,0.5725850439970914,10.56813,36993889926.159134,5.998199716005296,995863.2728365002,0.001,2.3
2,709.054,98.738,23.970000000000002,22.64,1.3300000000000018,83,1.133,57.51,-0.23807999999999985,0.5779895679858503,10.55519,35907899417.48682,5.9852718949185615,966655.8753117757,0.001,2.3
3,695.119,51.824,24.14,22.44,1.6999999999999993,71,1.197,47.61,-0.19728000000000012,0.6349214508778137,10.42579,26655694357.540134,5.856171450009877,718077.716777583,0.001,2.3
4,389.254,296.955,24.240000000000002,22.43,1.8100000000000023,268,1.41,28.92,-0.19523999999999986,0.6379108661947391,10.419319999999999,26261528516.020065,5.849730548120663,707506.6856483483,0.001,2.3
5,751.847,22.71,23.970000000000002,22.41,1.5600000000000023,114,0.806,67.75,-0.19115999999999977,0.6439319884982008,10.406379999999999,25490596592.70648,5.836855109096956,686839.2559775709,0.001,2.3
6,28.685,532.373,23.700000000000003,22.38,1.3200000000000038,136,0.612,76.69,-0.18503999999999965,0.6530703998706809,10.386969999999998,24376424261.793713,5.817560035669304,656991.9309485399,0.001,2.3
7,858.503,549.942,23.03,22.37,0.6600000000000001,86,1.02,61.68,-0.18300000000000005,0.6561452663029054,10.3805,24015962678.856945,5.81113380769601,647342.0334412736,0.001,2.3
8,455.378,425.579,23.650000000000002,22.33,1.3200000000000038,236,0.871,49.46,-0.17483999999999944,0.6685901899295292,10.354619999999999,22626636504.74447,5.78546112875831,610184.4400438906,0.001,2.3
9,567.725,655.871,23.630000000000003,22.3,1.3300000000000018,85,0.85,69.95,-0.16871999999999998,0.6780785401036363,10.33521,21637645437.25341,5.766246474497096,583776.3199785347,0.001,2.3
10,521.932,816.652,23.78,22.19,1.5899999999999999,105,0.695,75.84,-0.14627999999999997,0.7140358217354871,10.26404,18367075025.707794,5.69621389624264,496836.96050896903,0.001,2.3
11,394.372,341.06,23.3,22.15,1.1500000000000021,84,0.54,81.75,-0.13811999999999958,0.7275787393248205,10.238159999999999,17304537645.20259,5.670978236718034,468789.8896474073,0.001,2.3
12,513.17,810.87,23.37,21.95,1.4200000000000017,207,0.746,61.38,-0.09731999999999963,0.7992451324160835,10.108759999999998,12845765805.070621,5.548305162522411,353431.42563266546,0.001,2.3
13,572.458,659.62,23.580000000000002,21.94,1.6400000000000006,70,0.948,64.12,-0.09528000000000003,0.8030082367142902,10.10229,12655811567.878084,5.542400928900546,348659.0390893231,0.001,2.3
14,845.449,630.594,23.35,21.94,1.4100000000000001,225,0.803,55.63,-0.09528000000000003,0.8030082367142902,10.10229,12655811567.878084,5.542400928900546,348659.0390893231,0.001,2.3
15,899.173,0.91,23.540000000000003,21.91,1.6300000000000026,149,0.257,53.1,-0.08839999999999992,0.8158306174490079,10.0856,12178673848.912579,5.52784869362749,337169.8196454031,0.001,2.3
16,388.986,69.78,23.110000000000003,21.86,1.2500000000000036,85,0.453,79.11,-0.08289999999999986,0.8262281737435994,10.072349999999998,11812722450.987347,5.516590499973226,328541.699967517,0.001,2.3
17,475.878,385.235,23.450000000000003,21.83,1.6200000000000045,567,1.147,13.47,-0.07959999999999967,0.832530206749243,10.0644,11598451211.901646,5.509970189018614,323571.4454721753,0.001,2.3
18,813.52,332.95,22.880000000000003,21.81,1.0700000000000038,252,0.655,67.2,-0.07739999999999969,0.8367582442814506,10.059099999999999,11457767359.17109,5.505617122408884,320344.38967125805,0.001,2.3
19,714.185,407.121,23.080000000000002,21.81,1.2700000000000031,133,0.484,79.1,-0.07739999999999969,0.8367582442814506,10.059099999999999,11457767359.17109,5.505617122408884,320344.38967125805,0.001,2.3
20,97.012,404.027,22.44,21.8,0.6400000000000006,116,0.486,80.13,-0.07629999999999992,0.8388803083408606,10.056449999999998,11388066643.65658,5.503459559236891,318756.87408989226,0.001,2.3
21,119.598,678.105,23.17,21.74,1.4300000000000033,270,0.719,61.81,-0.06969999999999976,0.8517261866459189,10.040549999999998,10978676796.856754,5.4907980404038295,309597.92437953746,0.001,2.3
22,103.0,615.344,23.21,21.72,1.490000000000002,89,0.589,81.32,-0.06749999999999978,0.8560517117200951,10.035249999999998,10845510521.338823,5.200769361178259,158770.33501738482,0.003,2.3
23,346.614,200.477,24.5,21.66405,1.6,152,0.868,57.49,-0.06134549999999983,0.8682694086742864,10.020423249999999,10481495446.55159,5.21316023427075,163365.45785446084,0.003,2.3
24,806.535,341.542,22.78,21.59,1.1900000000000013,138,0.356,70.23,-0.053199999999999914,0.8847080928705309,10.000799999999998,10018437657.240217,5.231138284324734,170270.05814072606,0.003,2.3
25,519.771,822.923,21.98,21.57,0.41000000000000014,574,0.755,24.16,-0.050999999999999934,0.8892011178579485,9.9955,9896918638.691025,5.236303472689395,172307.21884779088,0.003,2.3
26,424.331,-17.963,23.32,21.56,1.7600000000000016,256,1.59,33.27,-0.04989999999999972,0.8914561798745944,9.992849999999999,9836712990.515291,5.238935497079251,173354.65063011265,0.003,2.3
27,51.917,654.58,22.68,21.47,1.2100000000000009,308,0.362,68.98,-0.0399999999999997,0.9120108393559103,9.968999999999998,9311078754.678253,5.264106337439552,183698.80766605982,0.003,2.3
28,523.697,838.905,24.400000000000002,21.43395,1.6,144,0.962,53.07,-0.03603449999999986,0.9203764548929163,9.959446749999998,9108497637.099045,5.274935897437653,188337.10803797102,0.003,2.3
29,206.907,513.45,22.240000000000002,21.41,0.8300000000000018,172,0.358,68.94,-0.033399999999999874,0.9259765745612469,9.957819999999998,9074443480.172138,5.287085975258462,193680.53463425065,0.003,2.3
30,565.427,841.839,23.35,21.38,1.9700000000000024,178,0.379,70.86,-0.030099999999999794,0.93303943579109,9.950829999999998,8929558771.413073,5.297617153914753,198434.48752819776,0.003,2.3
31,264.14,316.748,22.59,21.34,1.25,458,0.312,51.87,-0.025699999999999834,0.9425404555789748,9.94151,8739971168.862238,5.312113611489943,205169.88332954954,0.003,2.3
32,161.874,584.081,22.51,21.32,1.1900000000000013,456,0.256,43.68,-0.023499999999999965,0.9473271845042496,9.93685,8646692210.265823,5.319555734577761,208715.99594957143,0.003,2.3
33,54.552,767.989,23.09,21.32,1.7699999999999996,418,0.821,46.61,-0.023499999999999965,0.9473271845042496,9.93685,8646692210.265823,5.319555734577761,208715.99594957143,0.003,2.3
34,576.165,524.68,22.85,21.29,1.5600000000000023,125,0.245,50.84,-0.020199999999999774,0.9545528969328626,9.929859999999998,8508637079.353246,5.33095974055727,214269.1962669815,0.003,2.3
35,251.772,690.018,21.990000000000002,21.27,0.7200000000000024,226,0.53,73.99,-0.017999999999999794,0.9594006315159336,9.925199999999998,8417827076.608096,5.338722047796455,218133.3392866717,0.003,2.3
36,324.743,541.049,22.03,21.18,0.8500000000000014,303,0.311,62.36,-0.008099999999999885,0.9815219132257575,9.904229999999998,8021027401.81384,5.375211579493056,237252.92724592908,0.003,2.3
37,681.597,88.905,24.5,21.14365,1.6,166,0.763,63.49,-0.00410149999999998,0.990600402252117,9.89576045,7866117873.318076,5.390660556407498,245844.53376667164,0.003,2.3
38,719.435,768.779,22.03,21.1,0.9299999999999997,248,0.359,67.77,0.0006999999999999229,1.0016131092283087,9.885589999999999,7684046777.247594,5.437953464484642,274128.0422554388,0.006,2.3
39,521.966,828.285,21.8,21.1,0.6999999999999993,244,0.517,74.09,0.0006999999999999229,1.0016131092283087,9.885589999999999,7684046777.247594,5.437953464484642,274128.0422554388,0.006,2.3
40,722.411,633.752,22.64,21.09,1.5500000000000007,180,0.2,38.34,0.0018000000000001348,1.0041532541208797,9.883259999999998,7642932076.7863245,5.443136724849943,277419.33404039295,0.006,2.3
41,65.875,646.566,21.860000000000003,21.06,0.8000000000000043,231,0.395,70.95,0.0051000000000002155,1.011812405855589,9.876269999999998,7520903217.338352,5.458785860425543,287597.9992409146,0.006,2.3
42,862.1,33.721,23.040000000000003,21.05,1.990000000000002,468,0.496,59.66,0.006200000000000094,1.0143784167147654,9.87394,7480661442.145829,5.464034753005054,291095.0048067755,0.006,2.3
43,644.197,327.874,21.78,21.05,0.7300000000000004,191,0.32,63.31,0.006200000000000094,1.0143784167147654,9.87394,7480661442.145829,5.464034753005054,291095.0048067755,0.006,2.3
44,227.825,255.322,22.34,21.01,1.3299999999999983,271,0.303,60.59,0.010599999999999943,1.0247077008156444,9.864619999999999,7321836050.587682,5.485187949708114,305624.3478144283,0.006,2.3
45,263.55,751.289,22.03,21.0,1.0300000000000011,230,0.301,59.84,0.011700000000000155,1.027306414838677,9.862289999999998,7282659415.570597,5.490514707764237,309396.0093354615,0.006,2.3
46,777.55,813.482,22.040000000000003,20.97,1.0700000000000038,232,0.454,73.88,0.015000000000000235,1.0351421666793443,9.855299999999998,7166382754.558611,5.506584184550709,321058.50904250523,0.006,2.3
47,74.539,825.258,21.92,20.96,0.9600000000000009,226,0.365,68.33,0.016100000000000003,1.0377673430708556,9.85297,7128037896.844223,5.511969751774575,325064.6561320197,0.006,2.3
48,763.695,286.694,21.92,20.95,0.9700000000000024,217,0.267,53.69,0.017200000000000215,1.0403991770513525,9.850639999999999,7089898209.320054,5.517369522320557,329131.5555231851,0.006,2.3
49,865.938,292.732,22.32,20.919999999999998,1.4000000000000021,179,0.315,62.92,0.020500000000000296,1.0483347935810021,9.843649999999998,6976699219.27364,5.533652012837024,341705.5343791792,0.006,2.3
50,652.101,471.075,21.66,20.9,0.7600000000000016,206,0.366,68.69,0.022700000000000276,1.053658803229717,9.838989999999999,6902239106.643889,5.544574249801613,350408.19123797276,0.006,2.3
51,105.314,515.071,21.69,20.89,0.8000000000000007,197,0.414,72.82,0.023800000000000043,1.0563309388106872,9.836659999999998,6865307591.049528,5.550054910169705,354858.25302057137,0.006,2.3
52,511.708,-8.212,22.060000000000002,20.89,1.1700000000000017,202,0.26,52.42,0.023800000000000043,1.0563309388106872,9.836659999999998,6865307591.049528,5.550054910169705,354858.25302057137,0.006,2.3
53,768.512,220.448,22.310000000000002,20.89,1.4200000000000017,216,0.277,55.64,0.023800000000000043,1.0563309388106872,9.836659999999998,6865307591.049528,5.550054910169705,354858.25302057137,0.006,2.3
54,878.28,140.257,22.490000000000002,20.87,1.620000000000001,250,0.246,49.36,0.026000000000000023,1.0616955571987248,9.831999999999999,6792036326.171829,5.561054245116516,363960.493408502,0.006,2.3
55,164.071,564.966,21.52,20.86,0.6600000000000001,203,0.488,74.97,0.027100000000000235,1.064388074421429,9.829669999999998,6755694467.88181,5.566572486588737,368614.5608988333,0.006,2.3
56,606.95,-17.238,22.360000000000003,20.85,1.5100000000000016,304,0.506,74.8,0.028200000000000003,1.0670874200130984,9.8238,6664997640.442612,5.568562819071015,370307.76515840576,0.006,2.3
