recno,[RMS2003],FilEp,Kmag,e_Kmag
       1,F1    31,1Ks07,17.38, 0.09
       2,F1    50,1Ks07,18.00, 0.08
       3,F1    51,1Ks07,17.91, 0.04
       4,F1    53,1Ks07,18.01, 0.08
       5,F1    64,1Ks07,18.41, 0.05
       6,F1    69,1Ks07,17.95, 0.13
       7,F1    73,1Ks07,18.47, 0.07
       8,F1    75,1Ks07,18.94, 0.08
       9,F1    76,1Ks07,19.17, 0.08
      10,F1    77,1Ks07,18.79, 0.08
      11,F1    78,1Ks07,18.68, 0.07
      12,F1    84,1Ks07,19.74, 0.10
      13,F1    91,1Ks07,18.56, 0.05
      14,F1   100,1Ks07,18.89, 0.04
      15,F1   101,1Ks07,19.44, 0.16
      16,F1   104,1Ks07,19.19, 0.10
      17,F1   122,1Ks07,19.28, 0.05
      18,F1   129,1Ks07,19.22, 0.04
      19,F1   132,1Ks07,20.44, 0.10
      20,F1   133,1Ks07,19.12, 0.05
      21,F1   135,1Ks07,20.62, 0.11
      22,F1   146,1Ks07,19.37, 0.04
      23,F1   148,1Ks07,     ,
      24,F1   151,1Ks07,19.76, 0.05
      25,F1   155,1Ks07,19.90, 0.06
      26,F1   158,1Ks07,     ,
      27,F1   160,1Ks07,19.59, 0.08
      28,F1   161,1Ks07,19.68, 0.04
      29,F1   164,1Ks07,19.86, 0.05
      30,F1   166,1Ks07,19.75, 0.05
      31,F1   168,1Ks07,19.31, 0.05
      32,F1   170,1Ks07,19.24, 0.04
      33,F1   171,1Ks07,19.23, 0.05
      34,F1   172,1Ks07,20.09, 0.15
      35,F1   173,1Ks07,20.21, 0.05
      36,F1   174,1Ks07,19.90, 0.07
      37,F1   177,1Ks07,19.27, 0.05
      38,F1   178,1Ks07,19.74, 0.06
      39,F1   182,1Ks07,     ,
      40,F1   183,1Ks07,     ,
      41,F1   184,1Ks07,19.26, 0.04
      42,F1   185,1Ks07,19.22, 0.06
      43,F1   188,1Ks07,20.18, 0.12
      44,F1   190,1Ks07,19.95, 0.05
      45,F1   191,1Ks07,19.52, 0.05
      46,F1   193,1Ks07,19.90, 0.04
      47,F1   194,1Ks07,19.44, 0.05
      48,F1   195,1Ks07,19.63, 0.05
      49,F1   197,1Ks07,19.38, 0.05
      50,F1   199,1Ks07,19.72, 0.14
      51,F1   200,1Ks07,19.44, 0.04
      52,F1   201,1Ks07,20.07, 0.04
      53,F1   204,1Ks07,20.01, 0.05
      54,F1   205,1Ks07,19.88, 0.07
      55,F1   206,1Ks07,19.95, 0.05
      56,F1   207,1Ks07,19.66, 0.04
      57,F1   210,1Ks07,19.98, 0.05
      58,F1   213,1Ks07,19.34, 0.05
      59,F1   215,1Ks07,20.47, 0.04
      60,F1   216,1Ks07,19.98, 0.05
      61,F1   218,1Ks07,19.88, 0.05
      62,F1   219,1Ks07,20.26, 0.06
      63,F1   220,1Ks07,     ,
      64,F1   224,1Ks07,19.44, 0.05
      65,F1   225,1Ks07,19.92, 0.05
      66,F1   227,1Ks07,20.12, 0.05
      67,F1   229,1Ks07,19.75, 0.04
      68,F1   230,1Ks07,20.15, 0.05
      69,F1   232,1Ks07,20.06, 0.04
      70,F1   233,1Ks07,19.94, 0.08
      71,F1   234,1Ks07,20.15, 0.07
      72,F1   236,1Ks07,20.16, 0.06
      73,F1   237,1Ks07,20.03, 0.08
      74,F1   238,1Ks07,20.37, 0.09
      75,F1   240,1Ks07,20.00, 0.04
      76,F1   244,1Ks07,19.72, 0.05
      77,F1   245,1Ks07,20.09, 0.04
      78,F1   246,1Ks07,19.80, 0.05
      79,F1   248,1Ks07,20.03, 0.04
      80,F1   250,1Ks07,19.85, 0.05
      81,F1   251,1Ks07,19.45, 0.05
      82,F1   252,1Ks07,19.56, 0.04
      83,F1   256,1Ks07,     ,
      84,F1   258,1Ks07,20.02, 0.05
      85,F1   259,1Ks07,19.53, 0.06
      86,F1   260,1Ks07,19.78, 0.04
      87,F1   261,1Ks07,20.11, 0.05
      88,F1   263,1Ks07,19.64, 0.05
      89,F1   264,1Ks07,19.41, 0.05
      90,F1   269,1Ks07,20.16, 0.06
      91,F1   272,1Ks07,19.72, 0.05
      92,F1   275,1Ks07,20.22, 0.07
      93,F1   282,1Ks07,19.65, 0.05
      94,F1   283,1Ks07,     ,
      95,F1   284,1Ks07,20.19, 0.05
      96,F1   286,1Ks07,20.08, 0.04
      97,F1   288,1Ks07,19.88, 0.06
      98,F1   292,1Ks07,20.13, 0.08
      99,F1   294,1Ks07,20.23, 0.05
     100,F1   295,1Ks07,20.04, 0.05
     101,F1   296,1Ks07,20.10, 0.04
     102,F1   301,1Ks07,20.04, 0.05
     103,F1   304,1Ks07,20.31, 0.05
     104,F1   311,1Ks07,20.26, 0.05
     105,F1   312,1Ks07,19.95, 0.05
     106,F1   314,1Ks07,20.27, 0.04
     107,F1   315,1Ks07,20.06, 0.04
     108,F1   316,1Ks07,19.66, 0.04
     109,F1   317,1Ks07,20.33, 0.05
     110,F1   319,1Ks07,20.71, 0.05
     111,F1   322,1Ks07,19.47, 0.05
     112,F1   323,1Ks07,20.32, 0.05
     113,F1   324,1Ks07,     ,
     114,F1   325,1Ks07,20.13, 0.06
     115,F1   327,1Ks07,19.58, 0.05
     116,F1   330,1Ks07,19.55, 0.04
     117,F1   331,1Ks07,20.35, 0.05
     118,F1   334,1Ks07,20.29, 0.07
     119,F1   335,1Ks07,20.33, 0.05
     120,F1   338,1Ks07,19.64, 0.06
     121,F1   339,1Ks07,20.14, 0.06
     122,F1   342,1Ks07,20.07, 0.05
     123,F1   343,1Ks07,20.46, 0.07
     124,F1   350,1Ks07,     ,
     125,F1   352,1Ks07,20.08, 0.05
     126,F1   353,1Ks07,     ,
     127,F1   355,1Ks07,20.29, 0.05
     128,F1   357,1Ks07,     ,
     129,F1   360,1Ks07,19.84, 0.04
     130,F1   361,1Ks07,20.09, 0.05
     131,F1   362,1Ks07,20.21, 0.05
     132,F1   364,1Ks07,20.60, 0.05
     133,F1   365,1Ks07,19.92, 0.05
     134,F1   368,1Ks07,20.22, 0.05
     135,F1   369,1Ks07,19.52, 0.05
     136,F1   373,1Ks07,19.56, 0.07
     137,F1   375,1Ks07,20.24, 0.05
     138,F1   376,1Ks07,20.23, 0.07
     139,F1   377,1Ks07,20.65, 0.05
     140,F1   382,1Ks07,19.92, 0.04
     141,F1   383,1Ks07,20.58, 0.05
     142,F1   386,1Ks07,20.56, 0.06
     143,F1   388,1Ks07,20.36, 0.05
     144,F1   392,1Ks07,20.37, 0.05
     145,F1   393,1Ks07,20.17, 0.05
     146,F1   396,1Ks07,20.12, 0.13
     147,F1   397,1Ks07,20.46, 0.05
     148,F1   408,1Ks07,19.70, 0.08
     149,F1   410,1Ks07,20.51, 0.08
     150,F1   414,1Ks07,19.78, 0.05
     151,F1   416,1Ks07,20.29, 0.05
     152,F1   419,1Ks07,20.19, 0.05
     153,F1   423,1Ks07,     ,
     154,F1   424,1Ks07,20.65, 0.07
     155,F1   425,1Ks07,19.89, 0.05
     156,F1   429,1Ks07,19.57, 0.04
     157,F1   430,1Ks07,19.90, 0.05
     158,F1   431,1Ks07,20.09, 0.05
     159,F1   435,1Ks07,20.28, 0.06
     160,F1   438,1Ks07,20.32, 0.05
     161,F1   440,1Ks07,20.13, 0.06
     162,F1   441,1Ks07,20.23, 0.05
     163,F1   444,1Ks07,20.46, 0.05
     164,F1   449,1Ks07,19.74, 0.04
     165,F1   451,1Ks07,19.69, 0.05
     166,F1   452,1Ks07,19.98, 0.04
     167,F1   456,1Ks07,20.30, 0.05
     168,F1   459,1Ks07,20.17, 0.04
     169,F1   462,1Ks07,19.89, 0.04
     170,F1   463,1Ks07,19.69, 0.04
     171,F1   464,1Ks07,19.64, 0.05
     172,F1   465,1Ks07,20.14, 0.08
     173,F1   466,1Ks07,19.53, 0.04
     174,F1   468,1Ks07,19.99, 0.04
     175,F1   469,1Ks07,20.75, 0.07
     176,F1   472,1Ks07,20.13, 0.04
     177,F1   474,1Ks07,20.16, 0.05
     178,F1   476,1Ks07,20.80, 0.05
     179,F1   477,1Ks07,20.27, 0.05
     180,F1   479,1Ks07,20.24, 0.05
     181,F1   483,1Ks07,20.03, 0.06
     182,F1   485,1Ks07,20.37, 0.04
     183,F1   494,1Ks07,20.56, 0.05
     184,F1   497,1Ks07,20.22, 0.04
     185,F1   503,1Ks07,20.44, 0.05
     186,F1   504,1Ks07,20.68, 0.05
     187,F1   509,1Ks07,20.31, 0.06
     188,F1   519,1Ks07,19.98, 0.05
     189,F1   522,1Ks07,20.31, 0.07
     190,F1   524,1Ks07,20.60, 0.06
     191,F1   527,1Ks07,19.80, 0.07
     192,F1   528,1Ks07,20.03, 0.07
     193,F1   530,1Ks07,20.31, 0.08
     194,F1   533,1Ks07,19.76, 0.04
     195,F1   536,1Ks07,20.39, 0.05
     196,F1   541,1Ks07,20.62, 0.05
     197,F1   548,1Ks07,20.12, 0.05
     198,F1   549,1Ks07,20.04, 0.04
     199,F1   552,1Ks07,20.40, 0.05
     200,F1   554,1Ks07,20.46, 0.05
     201,F1   555,1Ks07,20.36, 0.04
     202,F1   559,1Ks07,20.45, 0.06
     203,F1   560,1Ks07,20.38, 0.05
     204,F1   561,1Ks07,20.49, 0.05
     205,F1   564,1Ks07,20.89, 0.06
     206,F1   566,1Ks07,19.85, 0.07
     207,F1   567,1Ks07,20.58, 0.05
     208,F1   571,1Ks07,20.31, 0.04
     209,F1   572,1Ks07,20.29, 0.05
     210,F1   573,1Ks07,20.51, 0.05
     211,F1   575,1Ks07,20.46, 0.05
     212,F1   579,1Ks07,20.34, 0.05
     213,F1   581,1Ks07,20.26, 0.05
     214,F1   583,1Ks07,20.37, 0.04
     215,F1   584,1Ks07,20.17, 0.05
     216,F1   585,1Ks07,20.25, 0.06
     217,F1   586,1Ks07,19.92, 0.04
     218,F1   587,1Ks07,19.88, 0.06
     219,F1   588,1Ks07,19.94, 0.05
     220,F1   590,1Ks07,20.54, 0.06
     221,F1   600,1Ks07,20.39, 0.05
     222,F1   603,1Ks07,20.55, 0.07
     223,F1   608,1Ks07,19.98, 0.05
     224,F1   610,1Ks07,20.27, 0.06
     225,F1   621,1Ks07,20.20, 0.04
     226,F1   623,1Ks07,20.18, 0.05
     227,F1   624,1Ks07,20.10, 0.05
     228,F1   626,1Ks07,20.07, 0.08
     229,F1   628,1Ks07,19.99, 0.10
     230,F1   629,1Ks07,20.42, 0.06
     231,F1   631,1Ks07,     ,
     232,F1   632,1Ks07,20.07, 0.04
     233,F1   633,1Ks07,20.06, 0.06
     234,F1   641,1Ks07,20.34, 0.04
     235,F1   643,1Ks07,20.59, 0.08
     236,F1   648,1Ks07,20.10, 0.05
     237,F1   652,1Ks07,20.18, 0.04
     238,F1   653,1Ks07,     ,
     239,F1   657,1Ks07,19.86, 0.04
     240,F1   661,1Ks07,20.46, 0.04
     241,F1   663,1Ks07,20.63, 0.06
     242,F1   668,1Ks07,20.50, 0.05
     243,F1   669,1Ks07,20.61, 0.05
     244,F1   670,1Ks07,20.33, 0.05
     245,F1   682,1Ks07,20.72, 0.05
     246,F1   683,1Ks07,19.91, 0.05
     247,F1   685,1Ks07,19.99, 0.05
     248,F1   686,1Ks07,     ,
     249,F1   688,1Ks07,20.12, 0.05
     250,F1   702,1Ks07,20.81, 0.05
     251,F1   703,1Ks07,20.03, 0.05
     252,F1   705,1Ks07,20.73, 0.05
     253,F1   706,1Ks07,20.50, 0.05
     254,F1   707,1Ks07,20.70, 0.05
     255,F1   708,1Ks07,20.55, 0.07
     256,F1   711,1Ks07,21.02, 0.12
     257,F1   733,1Ks07,20.52, 0.05
     258,F1   734,1Ks07,20.62, 0.05
     259,F1   735,1Ks07,20.14, 0.05
     260,F1   737,1Ks07,20.81, 0.07
     261,F1   741,1Ks07,20.53, 0.05
     262,F1   744,1Ks07,     ,
     263,F1   745,1Ks07,20.28, 0.05
     264,F1   746,1Ks07,     ,
     265,F1   751,1Ks07,20.22, 0.05
     266,F1   753,1Ks07,20.18, 0.04
     267,F1   757,1Ks07,21.80, 0.14
     268,F1   765,1Ks07,20.05, 0.05
     269,F1   775,1Ks07,19.90, 0.05
     270,F1   787,1Ks07,20.22, 0.05
     271,F1   790,1Ks07,19.88, 0.21
     272,F1   793,1Ks07,20.08, 0.04
     273,F1   797,1Ks07,20.15, 0.04
     274,F1   799,1Ks07,20.42, 0.05
     275,F1   802,1Ks07,20.51, 0.06
     276,F1   809,1Ks07,20.37, 0.05
     277,F1   813,1Ks07,20.25, 0.04
     278,F1   816,1Ks07,20.46, 0.06
     279,F1   818,1Ks07,20.17, 0.05
     280,F1   821,1Ks07,20.59, 0.05
     281,F1   828,1Ks07,20.36, 0.09
     282,F1   831,1Ks07,20.40, 0.05
     283,F1   838,1Ks07,20.30, 0.04
     284,F1   839,1Ks07,20.35, 0.04
     285,F1   846,1Ks07,20.37, 0.05
     286,F1   847,1Ks07,20.25, 0.04
     287,F1   854,1Ks07,20.19, 0.07
     288,F1   870,1Ks07,20.70, 0.05
     289,F1   880,1Ks07,20.39, 0.06
     290,F1   890,1Ks07,20.82, 0.05
     291,F1   892,1Ks07,20.76, 0.06
     292,F1   893,1Ks07,20.30, 0.05
     293,F1   902,1Ks07,20.79, 0.05
     294,F1   903,1Ks07,20.39, 0.04
     295,F1   904,1Ks07,20.30, 0.05
     296,F1   907,1Ks07,22.98, 0.21
     297,F1   908,1Ks07,20.69, 0.05
     298,F1   910,1Ks07,20.70, 0.05
     299,F1   911,1Ks07,20.39, 0.06
     300,F1   924,1Ks07,20.85, 0.05
     301,F1   928,1Ks07,20.45, 0.05
     302,F1   930,1Ks07,20.30, 0.07
     303,F1   932,1Ks07,20.68, 0.05
     304,F1   942,1Ks07,20.52, 0.05
     305,F1   945,1Ks07,20.75, 0.05
     306,F1   966,1Ks07,20.26, 0.05
     307,F1   972,1Ks07,20.68, 0.05
     308,F1   983,1Ks07,20.89, 0.06
     309,F1   985,1Ks07,20.63, 0.05
     310,F1   987,1Ks07,20.57, 0.05
     311,F1   988,1Ks07,     ,
     312,F1   990,1Ks07,20.30, 0.09
     313,F1   995,1Ks07,20.69, 0.05
     314,F1   996,1Ks07,20.56, 0.05
     315,F1  1001,1Ks07,20.57, 0.05
     316,F1  1002,1Ks07,20.40, 0.05
     317,F1  1006,1Ks07,21.30, 0.14
     318,F1  1017,1Ks07,20.86, 0.04
     319,F1  1019,1Ks07,20.81, 0.05
     320,F1  1024,1Ks07,20.71, 0.06
     321,F1  1029,1Ks07,20.51, 0.05
     322,F1  1033,1Ks07,20.23, 0.07
     323,F1  1048,1Ks07,20.34, 0.05
     324,F1  1053,1Ks07,20.31, 0.05
     325,F1  1055,1Ks07,20.87, 0.06
     326,F1  1064,1Ks07,20.47, 0.06
     327,F1  1068,1Ks07,20.96, 0.05
     328,F1  1071,1Ks07,20.67, 0.05
     329,F1  1072,1Ks07,21.01, 0.06
     330,F1  1073,1Ks07,21.51, 0.47
     331,F1  1079,1Ks07,23.66, 0.40
     332,F1  1082,1Ks07,20.37, 0.06
     333,F1  1085,1Ks07,21.00, 0.06
     334,F1  1086,1Ks07,20.33, 0.07
     335,F1  1089,1Ks07,20.83, 0.05
     336,F1  1097,1Ks07,20.84, 0.06
     337,F1  1109,1Ks07,20.61, 0.18
     338,F1  1112,1Ks07,20.66, 0.05
     339,F1  1113,1Ks07,20.49, 0.06
     340,F1  1115,1Ks07,20.68, 0.06
     341,F1  1125,1Ks07,20.68, 0.05
     342,F1  1133,1Ks07,20.64, 0.05
     343,F1  1143,1Ks07,20.86, 0.05
     344,F1  1151,1Ks07,20.65, 0.04
     345,F1  1159,1Ks07,20.70, 0.06
     346,F1  1162,1Ks07,20.81, 0.07
     347,F1  1167,1Ks07,20.76, 0.05
     348,F1  1172,1Ks07,20.67, 0.05
     349,F1  1177,1Ks07,20.77, 0.05
     350,F1  1178,1Ks07,20.92, 0.05
     351,F1  1182,1Ks07,20.81, 0.05
     352,F1  1189,1Ks07,20.64, 0.06
     353,F1  1195,1Ks07,20.96, 0.05
     354,F1  1198,1Ks07,20.72, 0.05
     355,F1  1199,1Ks07,20.45, 0.04
     356,F1  1202,1Ks07,20.78, 0.06
     357,F1  1207,1Ks07,21.19, 0.05
     358,F1  1209,1Ks07,20.78, 0.05
     359,F1  1216,1Ks07,20.64, 0.04
     360,F1  1222,1Ks07,20.84, 0.05
     361,F1  1227,1Ks07,20.57, 0.06
     362,F1  1232,1Ks07,20.97, 0.06
     363,F1  1236,1Ks07,20.67, 0.05
     364,F1  1240,1Ks07,20.79, 0.07
     365,F1  1241,1Ks07,21.20, 0.05
     366,F1  1242,1Ks07,20.51, 0.05
     367,F1  1253,1Ks07,20.92, 0.19
     368,F1  1254,1Ks07,20.73, 0.05
     369,F1  1260,1Ks07,22.18, 0.40
     370,F1  1280,1Ks07,20.82, 0.06
     371,F1  1283,1Ks07,     ,
     372,F1  1291,1Ks07,21.02, 0.08
     373,F1  1298,1Ks07,     ,
     374,F1  1304,1Ks07,20.47, 0.15
     375,F1  1307,1Ks07,21.10, 0.05
     376,F1  1310,1Ks07,20.99, 0.05
     377,F1  1327,1Ks07,20.81, 0.05
     378,F1  1333,1Ks07,21.14, 0.05
     379,F1  1356,1Ks07,20.99, 0.05
     380,F1  1359,1Ks07,21.42, 0.06
     381,F1  1361,1Ks07,     ,
     382,F1  1370,1Ks07,21.30, 0.45
     383,F1  1381,1Ks07,20.42, 0.06
     384,F1  1390,1Ks07,20.90, 0.06
     385,F1  1394,1Ks07,20.91, 0.05
     386,F1  1396,1Ks07,20.48, 0.04
     387,F1  1416,1Ks07,21.02, 0.06
     388,F1  1422,1Ks07,20.50, 0.05
     389,F1  1445,1Ks07,21.18, 0.07
     390,F1  1450,1Ks07,21.35, 0.07
     391,F1  1452,1Ks07,20.54, 0.18
     392,F1  1464,1Ks07,22.00, 0.11
     393,F1  1485,1Ks07,20.78, 0.06
     394,F1  1488,1Ks07,20.95, 0.06
     395,F1  1495,1Ks07,20.94, 0.06
     396,F1  1513,1Ks07,20.59, 0.05
     397,F1  1533,1Ks07,     ,
     398,F1  1539,1Ks07,20.61, 0.05
     399,F1  1554,1Ks07,21.03, 0.05
     400,F1  1564,1Ks07,21.17, 0.05
     401,F1  1624,1Ks07,20.93, 0.05
     402,F1  1629,1Ks07,21.00, 0.06
     403,F1  1639,1Ks07,21.33, 0.05
     404,F1  1649,1Ks07,21.24, 0.06
     405,F1  1670,1Ks07,21.01, 0.06
     406,F1  1671,1Ks07,21.28, 0.07
     407,F1  1682,1Ks07,21.21, 0.05
     408,F1  1689,1Ks07,22.19, 0.12
     409,F1  1705,1Ks07,21.78, 0.09
     410,F1  1735,1Ks07,     ,
     411,F1  1775,1Ks07,20.80, 0.05
     412,F1  1800,1Ks07,22.40, 0.12
     413,F1  1804,1Ks07,21.46, 0.08
     414,F1  1806,1Ks07,21.53, 0.07
     415,F1  1810,1Ks07,     ,
     416,F1  1827,1Ks07,     ,
     417,F1  1832,1Ks07,21.45, 0.07
     418,F1  1838,1Ks07,21.00, 0.19
     419,F1  1840,1Ks07,21.27, 0.07
     420,F1  1851,1Ks07,20.98, 0.05
     421,F1  1859,1Ks07,21.85, 0.11
     422,F1  1867,1Ks07,20.98, 0.11
     423,F1  1888,1Ks07,20.80, 0.05
     424,F1  1893,1Ks07,21.60, 0.11
     425,F1  1897,1Ks07,21.63, 0.10
     426,F1  1903,1Ks07,21.09, 0.05
     427,F1  1911,1Ks07,20.91, 0.06
     428,F1  1943,1Ks07,20.80, 0.05
     429,F1  2014,1Ks07,21.79, 0.11
     430,F1  2015,1Ks07,21.74, 0.08
     431,F1  2027,1Ks07,21.34, 0.05
     432,F1  2037,1Ks07,22.01, 0.07
     433,F1  2050,1Ks07,21.58, 0.10
     434,F1  2057,1Ks07,21.48, 0.06
     435,F1  2059,1Ks07,21.84, 0.11
     436,F1  2093,1Ks07,21.48, 0.06
     437,F1  2104,1Ks07,21.48, 0.06
     438,F1  2108,1Ks07,20.94, 0.05
     439,F1  2144,1Ks07,21.37, 0.06
     440,F1  2201,1Ks07,     ,
     441,F1  2223,1Ks07,22.45, 0.11
     442,F1  2266,1Ks07,21.15, 0.05
     443,F1  2269,1Ks07,23.28, 0.20
     444,F1  2297,1Ks07,22.18, 0.15
     445,F1  2306,1Ks07,23.80, 0.26
     446,F1  2364,1Ks07,21.28, 0.22
     447,F1  2394,1Ks07,21.29, 0.14
     448,F1  2429,1Ks07,21.65, 0.09
     449,F1  2443,1Ks07,21.28, 0.07
     450,F1  2445,1Ks07,20.72, 0.15
     451,F1  2460,1Ks07,     ,
     452,F1  2461,1Ks07,21.03, 0.06
     453,F1  2470,1Ks07,22.10, 0.08
     454,F1  2630,1Ks07,21.78, 0.07
     455,F1  2860,1Ks07,21.14, 0.05
     456,F1  2867,1Ks07,22.88, 1.39
     457,F1  2872,1Ks07,21.70, 0.06
     458,F1  2896,1Ks07,21.44, 0.29
     459,F1  2900,1Ks07,21.77, 0.08
     460,F1  2927,1Ks07,21.66, 0.12
     461,F1  2978,1Ks07,21.14, 0.14
     462,F1  3025,1Ks07,21.85, 0.10
     463,F1  3047,1Ks07,22.85, 0.19
     464,F1  3070,1Ks07,     ,
     465,F1  3075,1Ks07,23.47, 0.28
     466,F1  3095,1Ks07,21.62, 0.06
     467,F1  3134,1Ks07,22.03, 0.09
     468,F1  3137,1Ks07,22.49, 0.15
     469,F1  3153,1Ks07,23.13, 0.46
     470,F1  3161,1Ks07,24.31, 0.37
     471,F1  3189,1Ks07,     ,
     472,F1  3212,1Ks07,23.60, 0.33
     473,F1  3229,1Ks07,23.85, 0.53
     474,F1  3239,1Ks07,21.44, 0.20
     475,F1  3258,1Ks07,22.68, 0.18
     476,F1  3357,1Ks07,     ,
     477,F1  3367,1Ks07,21.86, 0.10
     478,F1  3397,1Ks07,21.89, 0.18
     479,F1  3478,1Ks07,21.89, 0.06
     480,F1  3481,1Ks07,21.89, 0.07
     481,F1  3510,1Ks07,22.37, 0.12
     482,F1  3515,1Ks07,21.72, 0.06
     483,F1  3545,1Ks07,     ,
     484,F1  3573,1Ks07,22.00, 0.18
     485,F1  3586,1Ks07,21.94, 0.09
     486,F1  3609,1Ks07,23.91, 0.36
     487,F1  3629,1Ks07,22.03, 0.09
     488,F1  3853,1Ks07,22.05, 0.08
     489,F1  3969,1Ks07,     ,
     490,F1  4007,1Ks07,20.92, 0.17
     491,F1  4036,1Ks07,25.50, 1.60
     492,F1  4045,1Ks07,23.17, 0.27
     493,F1  4052,1Ks07,24.82, 1.44
     494,F1  4088,1Ks07,24.47, 0.63
     495,F1  4098,1Ks07,22.60, 0.13
     496,F1  4107,1Ks07,24.20, 0.52
     497,F1  4211,1Ks07,22.96, 0.27
     498,F1  4232,1Ks07,21.30, 0.13
     499,F1  4237,1Ks07,22.40, 0.17
     500,F1  4291,1Ks07,23.96, 0.63
     501,F1  4311,1Ks07,22.95, 0.17
     502,F1  4329,1Ks07,24.24, 0.91
     503,F1  4374,1Ks07,21.89, 0.08
     504,F1  4512,1Ks07,23.51, 0.19
     505,F1  4586,1Ks07,22.57, 0.11
     506,F1  4605,1Ks07,22.52, 0.13
     507,F1  4635,1Ks07,     ,
     508,F1  4709,1Ks07,22.37, 0.14
     509,F1  4712,1Ks07,24.29, 0.46
     510,F1  4773,1Ks07,23.81, 0.30
     511,F1  4795,1Ks07,     ,
     512,F1  4809,1Ks07,24.02, 0.49
     513,F1  4846,1Ks07,23.27, 0.26
     514,F1  4856,1Ks07,22.71, 0.18
     515,F1  4882,1Ks07,24.53, 0.38
     516,F1  4895,1Ks07,22.81, 0.17
     517,F1  4919,1Ks07,22.38, 0.07
     518,F1  4921,1Ks07,22.16, 0.14
     519,F1  4973,1Ks07,25.17, 1.28
     520,F1  4980,1Ks07,22.23, 0.20
     521,F1  5054,1Ks07,22.31, 0.07
     522,F1  5113,1Ks07,23.65, 0.36
     523,F1  5123,1Ks07,22.96, 0.13
     524,F1  5159,1Ks07,24.04, 0.34
     525,F1  5225,1Ks07,22.25, 0.07
     526,F1  5259,1Ks07,23.27, 0.14
     527,F1  5266,1Ks07,22.16, 0.11
     528,F1  5311,1Ks07,22.44, 0.13
     529,F1  5333,1Ks07,27.50, 9.92
     530,F1  5340,1Ks07,22.78, 0.16
     531,F1  5341,1Ks07,23.06, 0.15
     532,F1  5419,1Ks07,23.86, 0.38
     533,F1  5721,1Ks07,23.53, 0.29
     534,F1  5754,1Ks07,22.26, 0.12
     535,F1  5824,1Ks07,23.13, 0.20
     536,F1  5897,1Ks07,24.16, 0.50
     537,F1  5906,1Ks07,22.60, 0.19
     538,F1  6180,1Ks07,24.06, 0.61
     539,F1  6199,1Ks07,24.43, 0.43
     540,F1  6211,1Ks07,     ,
     541,F1  6215,1Ks07,22.49, 0.13
     542,F1  6272,1Ks07,25.35, 1.78
     543,F1  6355,1Ks07,22.95, 0.19
     544,F1  6480,1Ks07,22.53, 0.09
     545,F1  6514,1Ks07,22.88, 0.17
     546,F1  6516,1Ks07,22.51, 0.14
     547,F1  6540,1Ks07,22.73, 0.12
     548,F1  6607,1Ks07,23.29, 0.23
     549,F1  6647,1Ks07,23.38, 0.22
     550,F1  6698,1Ks07,25.80, 2.63
     551,F1  6710,1Ks07,23.45, 0.19
     552,F1  6723,1Ks07,22.88, 0.16
     553,F1  6733,1Ks07,23.08, 0.12
     554,F1  6862,1Ks07,23.07, 0.13
     555,F1  6884,1Ks07,22.71, 0.13
     556,F1  6924,1Ks07,23.06, 0.18
     557,F1  6994,1Ks07,22.88, 0.19
     558,F1  7088,1Ks07,22.80, 0.13
     559,F1  7098,1Ks07,23.39, 0.26
     560,F1  7165,1Ks07,23.22, 0.22
     561,F1  7219,1Ks07,22.37, 0.11
     562,F1  7248,1Ks07,22.90, 0.10
     563,F1  7285,1Ks07,24.94, 1.07
     564,F1  7304,1Ks07,22.95, 0.22
     565,F1  7345,1Ks07,22.86, 0.12
     566,F1  7375,1Ks07,23.08, 0.13
     567,F1  7401,1Ks07,22.35, 0.07
     568,F1  7416,1Ks07,23.17, 0.15
     569,F1  7432,1Ks07,23.19, 0.19
     570,F1  7560,1Ks07,23.12, 0.18
     571,F1  7608,1Ks07,23.59, 0.31
     572,F1  7630,1Ks07,     ,
     573,F1  7689,1Ks07,22.58, 0.10
     574,F1  7740,1Ks07,23.06, 0.21
     575,F1  7753,1Ks07,22.69, 0.14
     576,F1  7755,1Ks07,22.53, 0.10
     577,F1  7788,1Ks07,23.07, 0.13
     578,F1  7835,1Ks07,24.70, 0.55
     579,F1  7843,1Ks07,24.10, 0.58
     580,F1  8005,1Ks07,22.96, 0.16
     581,F1  8034,1Ks07,23.07, 0.15
     582,F1  8074,1Ks07,23.62, 0.26
     583,F1  8122,1Ks07,24.36, 0.38
     584,F1  8130,1Ks07,23.22, 0.15
     585,F1  8151,1Ks07,23.01, 0.26
     586,F1  8208,1Ks07,23.28, 0.24
     587,F1  8273,1Ks07,23.50, 0.24
     588,F1  8319,1Ks07,23.02, 0.11
     589,F1  8343,1Ks07,23.01, 0.17
     590,F1  8575,1Ks07,23.04, 0.18
     591,F1  8619,1Ks07,23.93, 0.27
     592,F1  8796,1Ks07,23.45, 0.28
     593,F1  8880,1Ks07,23.48, 0.34
     594,F1  9271,1Ks07,23.20, 0.16
     595,F1  9329,1Ks07,23.78, 0.21
     596,F1  9375,1Ks07,23.58, 0.22
     597,F1  9627,1Ks07,23.28, 0.26
     598,F1  9672,1Ks07,23.90, 0.33
     599,F1  9858,1Ks07,24.13, 0.48
     600,F1 10031,1Ks07,23.43, 0.23
     601,F1 10375,1Ks07,23.32, 0.25
     602,F1    31,1Ks01,17.41, 0.08
