Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_030,log_t,age_030 (years),delta_t (years)
F2,12881,649.102,266.481,92,0.758,22.82,22.71,22.37,61.57,-0.62,0.24,0.55,12.12,1.3138E+12,317547
F2,9299,579.266,356.438,219,1.096,22.54,22.89,22.01,41.95,-0.49,0.32,0.63,11.71,5.09831E+11,143539
F2,6887,775.775,569.576,89,0.936,21.94,23.05,21.83,57.51,-0.43,0.37,0.21,11.5,3.17595E+11,104192
F2,8837,204.386,427.624,105,0.693,24.17,99.99,22.13,62.66,-0.42,0.38,1.55,11.49,3.09217E+11,102545
F2,5189,256.48,86.847,282,0.757,22.19,21.58,21.54,50.94,-0.33,0.47,0.75,11.17,1.48152E+11,74386
F2,7887,889.962,684.094,213,0.607,22.22,21.25,21.54,53.52,-0.33,0.47,0.78,11.17,1.48152E+11,74386
F2,7602,731.358,506.045,225,1.315,23.88,22.93,21.83,36.21,-0.32,0.48,1.55,11.14,1.38415E+11,73173
F2,6837,121.917,845.695,191,0.427,22.88,22.37,21.46,45.13,-0.3,0.5,1.52,11.08,1.20047E+11,71288
F2,6190,773.927,576.531,308,0.726,21.99,21.78,21.36,51.53,-0.26,0.55,0.73,10.97,92290107106,70088
F2,5897,198.408,281.172,188,0.364,22.48,21.79,21.29,38.59,-0.24,0.58,1.29,10.89,76774730389,71047
F2,4762,715.893,492.961,165,1.206,23.14,22.01,21.27,43.02,-0.23,0.59,1.97,10.86,72841553589,71609
F2,4054,17.627,422.046,403,0.779,22.42,21.95,21.22,51.11,-0.21,0.61,1.3,10.81,63867725493,73612
F2,4950,351.475,586.85,181,0.401,21.75,21.11,21.22,43.29,-0.21,0.61,0.63,10.81,63867725493,73612
F2,5045,823.415,300.274,193,0.474,22.38,21.18,21.21,48.91,-0.21,0.62,1.27,10.79,62210243323,74120
F2,5635,811.716,705.519,180,0.408,22.44,21.89,21.21,44.11,-0.21,0.62,1.33,10.79,62210243323,74120
