Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_030,log_t,age_030 (years),delta_t (years)
F1,10375,623.502,566.5,138,0.684,24.01,23.7,22.91,72.43,-0.81,0.16,1.2,12.74,5.43482E+12,1238217
F1,9271,482.027,808.044,120,0.644,24.36,23.13,22.82,76.81,-0.78,0.17,1.64,12.63,4.28953E+12,980993
F1,7432,709.054,98.738,83,1.133,24.03,22.75,22.8,57.51,-0.77,0.17,1.33,12.61,4.06977E+12,931700
F1,7608,695.119,51.824,71,1.197,24.2,23.57,22.6,47.61,-0.7,0.2,1.7,12.38,2.40536E+12,559450
F1,5333,389.254,296.955,268,1.41,24.3,22.83,22.59,28.92,-0.7,0.2,1.81,12.37,2.34293E+12,545546
F1,7740,751.847,22.71,114,0.806,24.03,99.99,22.57,67.75,-0.69,0.2,1.56,12.35,2.2229E+12,518828
F1,8319,28.685,532.373,136,0.612,23.76,22.94,22.54,76.69,-0.68,0.21,1.32,12.31,2.05429E+12,481338
F1,6710,858.503,549.942,86,1.02,23.09,23.58,22.53,61.68,-0.68,0.21,0.66,12.3,2.00098E+12,469496
F1,8575,455.378,425.579,236,0.871,23.71,22.93,22.49,49.46,-0.66,0.22,1.32,12.26,1.80121E+12,425179
F1,7098,567.725,655.871,85,0.85,23.69,23.11,22.46,69.95,-0.65,0.22,1.33,12.22,1.66458E+12,394929
F1,6514,521.932,816.652,105,0.695,23.84,23.3,22.35,75.84,-0.61,0.24,1.59,12.1,1.2465E+12,302759
F1,7219,394.372,341.06,84,0.54,23.36,22.18,22.31,81.75,-0.6,0.25,1.15,12.05,1.12205E+12,275482
F1,5906,513.17,810.87,207,0.746,23.43,22.33,22.11,61.38,-0.53,0.3,1.42,11.82,6.63165E+11,176032
F1,5123,572.458,659.62,70,0.948,23.64,23.08,22.1,64.12,-0.52,0.3,1.64,11.81,6.45954E+11,172357
F1,6480,845.449,630.594,225,0.803,23.41,22.43,22.1,55.63,-0.52,0.3,1.41,11.81,6.45954E+11,172357
F1,3545,899.173,0.91,149,0.257,23.6,99.99,22.07,53.1,-0.51,0.31,1.63,11.78,5.96957E+11,161928
F1,4980,388.986,69.78,85,0.453,23.17,22.7,22.02,79.11,-0.5,0.32,1.25,11.72,5.23414E+11,146391
F1,6733,475.878,385.235,567,1.147,23.51,23.23,21.99,13.47,-0.48,0.33,1.62,11.68,4.83712E+11,138074
F1,4919,813.52,332.95,252,0.655,22.94,22.37,21.97,67.2,-0.48,0.33,1.07,11.66,4.58931E+11,132915
F1,5266,714.185,407.121,133,0.484,23.14,21.99,21.97,79.1,-0.48,0.33,1.27,11.66,4.58931E+11,132915
F1,5225,97.012,404.027,116,0.486,22.5,22.27,21.96,80.13,-0.47,0.34,0.64,11.65,4.47021E+11,130445
F1,4237,119.598,678.105,270,0.719,23.23,22.44,21.9,61.81,-0.45,0.35,1.43,11.58,3.81778E+11,117054
F1,4098,103,615.344,89,0.589,23.27,21.65,21.88,81.32,-0.45,0.36,1.49,11.56,3.62219E+11,113095
F1,5340,346.614,200.477,152,0.868,24.56,22.69,22.3,57.49,-0.44,0.36,1.55,11.54,3.47981E+11,110233
F1,4374,806.535,341.542,138,0.356,22.84,21.91,21.75,70.23,-0.4,0.4,1.19,11.41,2.57346E+11,92583
