Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_006,log_t,age_006 (years),delta_t (years)
F2,12881,649.102,266.481,92,0.758,22.82,22.71,22.37,61.57,-0.24,0.58,0.55,10.71,51224767984,146243
F2,8837,204.386,427.624,105,0.693,24.17,99.99,22.13,62.66,-0.17,0.67,1.6,10.5,31353826720,137281
F2,9299,579.266,356.438,219,1.096,22.54,22.89,22.01,41.95,-0.17,0.68,0.63,10.48,29876932094,137777
F2,6887,775.775,569.576,89,0.936,21.94,23.05,21.83,57.51,-0.13,0.74,0.21,10.36,22817286734,145643
F2,7602,731.358,506.045,225,1.315,23.88,22.93,21.83,36.21,-0.11,0.77,1.6,10.3,19833628068,153607
F2,5189,256.48,86.847,282,0.757,22.19,21.58,21.54,50.94,-0.07,0.84,0.75,10.17,14779100418,181463
F2,7887,889.962,684.094,213,0.607,22.22,21.25,21.54,53.52,-0.07,0.84,0.78,10.17,14779100418,181463
F2,6837,121.917,845.695,191,0.427,22.88,22.37,21.46,45.13,-0.06,0.87,1.52,10.12,13110401743,198305
F2,6190,773.927,576.531,308,0.726,21.99,21.78,21.36,51.53,-0.04,0.92,0.73,10.05,11286934376,225164
F2,5898,72.087,743.065,244,0.2,23.5,22.24,21.41,13.18,-0.02,0.94,1.6,10.01,10213171127,247393
F2,5897,198.408,281.172,188,0.364,22.48,21.79,21.29,38.59,-0.02,0.95,1.29,10.01,10163610190,248574
F2,4762,715.893,492.961,165,1.206,23.14,22.01,21.27,43.02,-0.02,0.95,1.97,9.99,9863703295,256063
F2,4950,351.475,586.85,181,0.401,21.75,21.11,21.22,43.29,-0.01,0.98,0.63,9.96,9152084052,276507
F2,4054,17.627,422.046,403,0.779,22.42,21.95,21.22,51.11,-0.01,0.98,1.3,9.96,9152084052,276507
F2,5045,823.415,300.274,193,0.474,22.38,21.18,21.21,48.91,-0.01,0.98,1.27,9.96,9016043533,280908
F2,5635,811.716,705.519,180,0.408,22.44,21.89,21.21,44.11,-0.01,0.98,1.33,9.96,9016043533,280908
F2,5595,575.631,243.74,205,0.409,22.46,22.42,21.2,42.41,-0.01,0.99,1.36,9.95,8882025179,285419
F2,5770,179.661,481.922,185,0.333,22.2,21.21,21.16,34.86,0,1,1.14,9.92,8365578907,304607
F2,4272,126.101,446.682,132,0.557,21.32,21.11,21.09,59.21,0.02,1.04,0.33,9.88,7533000565,342978
F2,1452,891.524,655.324,170,1.789,20.89,21.65,21.09,43.14,0.02,1.04,-0.1,9.88,7533000565,342978
F2,4818,886.928,345.232,222,0.431,22.59,21.79,21.07,43.47,0.02,1.05,1.62,9.86,7310717462,355163
F2,2722,892.692,803.489,268,0.712,22.05,19.99,21.07,51.67,0.02,1.05,1.08,9.86,7310717462,355163
F2,4394,173.995,551.437,225,0.337,22.68,21.77,21.05,33.34,0.02,1.06,1.73,9.85,7094993469,367933
F2,5060,33.263,194.56,493,0.596,22.05,21.11,21.04,45.46,0.03,1.06,1.11,9.84,6989530430,374543
F2,4707,409.992,310.652,301,0.304,21.87,21.09,21.04,28.19,0.03,1.06,0.93,9.84,6989530430,374543
F2,3864,695.073,132.244,254,0.566,22.41,21.44,21.04,50.31,0.03,1.06,1.47,9.84,6989530430,374543
F2,4196,162.064,292.952,135,0.34,21.94,21.19,21.02,38.83,0.03,1.07,1.02,9.83,6783283995,388231
F2,4298,367.091,62.301,240,0.323,22.18,21.32,21.01,31.11,0.03,1.08,1.27,9.82,6682454340,395314
F2,4869,817.172,410.033,218,0.423,22.48,21.55,21.01,42.96,0.03,1.08,1.57,9.82,6682454340,395314
F2,4182,728.664,434.58,223,0.2,22.61,21.95,21,13.45,0.03,1.08,1.71,9.82,6583123461,402561
F2,3460,661.932,529.525,228,0.457,21.93,20.91,20.99,45.31,0.04,1.09,1.04,9.81,6485269079,409973
F2,4035,590.112,30.28,214,0.341,22.27,21.47,20.99,34.3,0.04,1.09,1.38,9.81,6485269079,409973
F2,4004,359.017,404.042,276,0.292,21.97,20.98,20.99,26.57,0.04,1.09,1.08,9.81,6485269079,409973
F2,4844,790.515,407.132,568,0.619,23.93,23.03,21.37,34.73,0.04,1.09,1.6,9.81,6397795075,416840
F2,4291,124.064,247.886,239,0.34,22.28,21.74,20.98,33.24,0.04,1.09,1.4,9.81,6388869246,417554
